split,family,peg_id,cand_id,offset_mm,label,reason,margin_mm,peg_v1,peg_v2,socket_v1,socket_v2
test,chamfered,chamfered_01,chamfered_01,0.3,compatible,,0.2874,data/renders/procedural/chamfered_01_peg_v1.png,data/renders/procedural/chamfered_01_peg_v2.png,data/renders/procedural/chamfered_01_socket_v1.png,data/renders/procedural/chamfered_01_socket_v2.png
test,chamfered,chamfered_01,chamfered_01_ap+0.10,0.1,compatible,,0.0956,data/renders/procedural/chamfered_01_peg_v1.png,data/renders/procedural/chamfered_01_peg_v2.png,data/renders/aperture/chamfered_01_ap+0.10_socket_v1.png,data/renders/aperture/chamfered_01_ap+0.10_socket_v2.png
test,chamfered,chamfered_01,chamfered_01_ap+0.00,0.0,ambiguous,boundary,0.0,data/renders/procedural/chamfered_01_peg_v1.png,data/renders/procedural/chamfered_01_peg_v2.png,data/renders/aperture/chamfered_01_ap+0.00_socket_v1.png,data/renders/aperture/chamfered_01_ap+0.00_socket_v2.png
test,chamfered,chamfered_01,chamfered_01_ap-0.10,-0.1,ambiguous,off_centre,-0.1426,data/renders/procedural/chamfered_01_peg_v1.png,data/renders/procedural/chamfered_01_peg_v2.png,data/renders/aperture/chamfered_01_ap-0.10_socket_v1.png,data/renders/aperture/chamfered_01_ap-0.10_socket_v2.png
test,chamfered,chamfered_01,chamfered_01_ap-0.30,-0.3,incompatible,,-0.4258,data/renders/procedural/chamfered_01_peg_v1.png,data/renders/procedural/chamfered_01_peg_v2.png,data/renders/aperture/chamfered_01_ap-0.30_socket_v1.png,data/renders/aperture/chamfered_01_ap-0.30_socket_v2.png
test,chamfered,chamfered_01,chamfered_01_ap-0.60,-0.6,incompatible,,-0.8516,data/renders/procedural/chamfered_01_peg_v1.png,data/renders/procedural/chamfered_01_peg_v2.png,data/renders/aperture/chamfered_01_ap-0.60_socket_v1.png,data/renders/aperture/chamfered_01_ap-0.60_socket_v2.png
test,chamfered,chamfered_01,chamfered_01_ap-1.20,-1.2,incompatible,,-1.7031,data/renders/procedural/chamfered_01_peg_v1.png,data/renders/procedural/chamfered_01_peg_v2.png,data/renders/aperture/chamfered_01_ap-1.20_socket_v1.png,data/renders/aperture/chamfered_01_ap-1.20_socket_v2.png
test,chamfered,chamfered_02,chamfered_02,0.3,compatible,,0.2874,data/renders/procedural/chamfered_02_peg_v1.png,data/renders/procedural/chamfered_02_peg_v2.png,data/renders/procedural/chamfered_02_socket_v1.png,data/renders/procedural/chamfered_02_socket_v2.png
test,chamfered,chamfered_02,chamfered_02_ap+0.10,0.1,compatible,,0.0956,data/renders/procedural/chamfered_02_peg_v1.png,data/renders/procedural/chamfered_02_peg_v2.png,data/renders/aperture/chamfered_02_ap+0.10_socket_v1.png,data/renders/aperture/chamfered_02_ap+0.10_socket_v2.png
test,chamfered,chamfered_02,chamfered_02_ap+0.00,0.0,ambiguous,boundary,0.0,data/renders/procedural/chamfered_02_peg_v1.png,data/renders/procedural/chamfered_02_peg_v2.png,data/renders/aperture/chamfered_02_ap+0.00_socket_v1.png,data/renders/aperture/chamfered_02_ap+0.00_socket_v2.png
test,chamfered,chamfered_02,chamfered_02_ap-0.10,-0.1,ambiguous,off_centre,-0.1426,data/renders/procedural/chamfered_02_peg_v1.png,data/renders/procedural/chamfered_02_peg_v2.png,data/renders/aperture/chamfered_02_ap-0.10_socket_v1.png,data/renders/aperture/chamfered_02_ap-0.10_socket_v2.png
test,chamfered,chamfered_02,chamfered_02_ap-0.30,-0.3,incompatible,,-0.4258,data/renders/procedural/chamfered_02_peg_v1.png,data/renders/procedural/chamfered_02_peg_v2.png,data/renders/aperture/chamfered_02_ap-0.30_socket_v1.png,data/renders/aperture/chamfered_02_ap-0.30_socket_v2.png
test,chamfered,chamfered_02,chamfered_02_ap-0.60,-0.6,incompatible,,-0.8516,data/renders/procedural/chamfered_02_peg_v1.png,data/renders/procedural/chamfered_02_peg_v2.png,data/renders/aperture/chamfered_02_ap-0.60_socket_v1.png,data/renders/aperture/chamfered_02_ap-0.60_socket_v2.png
test,chamfered,chamfered_02,chamfered_02_ap-1.20,-1.2,incompatible,,-1.7031,data/renders/procedural/chamfered_02_peg_v1.png,data/renders/procedural/chamfered_02_peg_v2.png,data/renders/aperture/chamfered_02_ap-1.20_socket_v1.png,data/renders/aperture/chamfered_02_ap-1.20_socket_v2.png
test,chamfered,chamfered_03,chamfered_03,0.3,compatible,,0.2857,data/renders/procedural/chamfered_03_peg_v1.png,data/renders/procedural/chamfered_03_peg_v2.png,data/renders/procedural/chamfered_03_socket_v1.png,data/renders/procedural/chamfered_03_socket_v2.png
