block_id,peg_id,family,split,regime,position,cand_id,kind,role,label,margin_mm,sim_to_mate,is_mate,peg_v1,peg_v2,socket_v1,socket_v2
circle_01_present_easy,circle_01,circle,test,present_easy,0,obround_01,catalog,E1,incompatible,-0.7002,0.4703,0,data/renders/procedural/circle_01_peg_v1.png,data/renders/procedural/circle_01_peg_v2.png,data/renders/procedural/obround_01_socket_v1.png,data/renders/procedural/obround_01_socket_v2.png
circle_01_present_easy,circle_01,circle,test,present_easy,1,obround_02,catalog,E2,incompatible,-0.7002,0.5898,0,data/renders/procedural/circle_01_peg_v1.png,data/renders/procedural/circle_01_peg_v2.png,data/renders/procedural/obround_02_socket_v1.png,data/renders/procedural/obround_02_socket_v2.png
circle_01_present_easy,circle_01,circle,test,present_easy,2,circle_01,catalog,M,compatible,0.2999,1.0,1,data/renders/procedural/circle_01_peg_v1.png,data/renders/procedural/circle_01_peg_v2.png,data/renders/procedural/circle_01_socket_v1.png,data/renders/procedural/circle_01_socket_v2.png
circle_01_present_hard,circle_01,circle,test,present_hard,0,circle_01,catalog,M,compatible,0.2999,1.0,1,data/renders/procedural/circle_01_peg_v1.png,data/renders/procedural/circle_01_peg_v2.png,data/renders/procedural/circle_01_socket_v1.png,data/renders/procedural/circle_01_socket_v2.png
circle_01_present_hard,circle_01,circle,test,present_hard,1,circle_01_shrunk0.20,shrunk,H,incompatible,-0.2002,0.8202,0,data/renders/procedural/circle_01_peg_v1.png,data/renders/procedural/circle_01_peg_v2.png,data/renders/blocks/circle_01_shrunk0.20_socket_v1.png,data/renders/blocks/circle_01_shrunk0.20_socket_v2.png
circle_01_present_hard,circle_01,circle,test,present_hard,2,obround_02,catalog,E2,incompatible,-0.7002,0.5898,0,data/renders/procedural/circle_01_peg_v1.png,data/renders/procedural/circle_01_peg_v2.png,data/renders/procedural/obround_02_socket_v1.png,data/renders/procedural/obround_02_socket_v2.png
circle_01_absent_easy,circle_01,circle,test,absent_easy,0,obround_02,catalog,E2,incompatible,-0.7002,0.5898,0,data/renders/procedural/circle_01_peg_v1.png,data/renders/procedural/circle_01_peg_v2.png,data/renders/procedural/obround_02_socket_v1.png,data/renders/procedural/obround_02_socket_v2.png
circle_01_absent_easy,circle_01,circle,test,absent_easy,1,obround_01,catalog,E1,incompatible,-0.7002,0.4703,0,data/renders/procedural/circle_01_peg_v1.png,data/renders/procedural/circle_01_peg_v2.png,data/renders/procedural/obround_01_socket_v1.png,data/renders/procedural/obround_01_socket_v2.png
circle_01_absent_easy,circle_01,circle,test,absent_easy,2,obround_04,catalog,E3,incompatible,-1.7002,0.5914,0,data/renders/procedural/circle_01_peg_v1.png,data/renders/procedural/circle_01_peg_v2.png,data/renders/procedural/obround_04_socket_v1.png,data/renders/procedural/obround_04_socket_v2.png
circle_01_absent_hard,circle_01,circle,test,absent_hard,0,circle_01_shrunk0.20,shrunk,H,incompatible,-0.2002,0.8202,0,data/renders/procedural/circle_01_peg_v1.png,data/renders/procedural/circle_01_peg_v2.png,data/renders/blocks/circle_01_shrunk0.20_socket_v1.png,data/renders/blocks/circle_01_shrunk0.20_socket_v2.png
