peg_id,family,split,eligible,reason,h_kind,h_sim,h_margin_mm,easy_max_sim,n_incompatible_pool
circle_01,circle,test,1,,shrunk,0.8202,-0.2002,0.5914,8
circle_02,circle,test,1,,shrunk,0.8583,-0.2002,0.5652,15
circle_03,circle,test,1,,shrunk,0.8831,-0.2002,0.5559,19
circle_04,circle,test,1,,shrunk,0.9052,-0.2002,0.3616,27
circle_05,circle,test,1,,shrunk,0.9203,-0.2002,0.2535,29
square_01,square,calib,1,,shrunk,0.8208,-0.2832,0.3738,16
square_02,square,calib,1,,shrunk,0.8587,-0.2832,0.4494,22
square_03,square,calib,1,,shrunk,0.8834,-0.2832,0.384,26
square_04,square,calib,1,,shrunk,0.9054,-0.2832,0.2961,27
rect_01,rect,calib,1,,catalog,0.8752,-1.6006,0.4171,24
rect_02,rect,calib,1,,shrunk,0.862,-0.2832,0.4124,25
rect_03,rect,calib,1,,catalog,0.8569,-0.5459,0.39,14
rect_04,rect,calib,1,,shrunk,0.8834,-0.2832,0.3623,27
rect_05,rect,calib,1,,shrunk,0.7819,-0.2832,0.5579,4
obround_01,obround,test,1,,catalog,0.8968,-0.9678,0.5159,24
obround_02,obround,test,1,,catalog,0.8729,-0.9609,0.5756,9
obround_03,obround,test,1,,shrunk,0.8738,-0.2002,0.503,28
obround_04,obround,test,0,fewer than 3 mutually distinct incompatible sockets in test (pool 2),,,,,2
ellipse_01,ellipse,dev,1,,shrunk,0.8741,-0.2012,0.5909,11
ellipse_02,ellipse,dev,1,,shrunk,0.8543,-0.2012,0.5536,9
ellipse_03,ellipse,dev,1,,shrunk,0.9006,-0.2012,0.4546,13
polygon_01,polygon,test,1,,shrunk,0.8359,-0.4004,0.5114,27
polygon_02,polygon,test,1,,catalog,0.8851,-0.7461,0.4711,26
polygon_03,polygon,test,1,,catalog,0.896,-0.4619,0.4332,26
polygon_04,polygon,test,1,,shrunk,0.8666,-0.2314,0.5537,16
polygon_05,polygon,test,1,,shrunk,0.898,-0.2168,0.3995,26
dshape_01,dshape,dev,1,,shrunk,0.877,-0.209,0.5427,11
dshape_02,dshape,dev,1,,shrunk,0.8647,-0.2217,0.5225,10
dshape_03,dshape,dev,1,,shrunk,0.8459,-0.2412,0.4953,7
dshape_04,dshape,dev,1,,shrunk,0.8947,-0.2158,0.5069,13
double_d_01,double_d,test,1,,shrunk,0.8699,-0.2139,0.6266,17
double_d_02,double_d,test,1,,catalog,0.9326,-0.6562,0.5546,12
double_d_03,double_d,test,1,,shrunk,0.8904,-0.2178,0.441,26
cross_01,cross,dev,1,,shrunk,0.7991,-0.2832,0.4408,12
cross_02,cross,dev,1,,shrunk,0.8572,-0.2832,0.506,13
cross_03,cross,dev,1,,shrunk,0.8175,-0.2832,0.596,10
cross_04,cross,dev,1,,shrunk,0.8197,-0.2832,0.5592,11
tee_01,tee,calib,1,,shrunk,0.8213,-0.3066,0.4236,26
tee_02,tee,calib,1,,shrunk,0.7593,-0.3115,0.3822,25
tee_03,tee,calib,1,,shrunk,0.8213,-0.3066,0.4116,26
ell_01,ell,calib,1,,shrunk,0.8212,-0.3291,0.3528,25
ell_02,ell,calib,1,,shrunk,0.8212,-0.3291,0.3528,25
ell_03,ell,calib,1,,shrunk,0.8193,-0.3242,0.4118,26
ell_04,ell,calib,1,,shrunk,0.8193,-0.3242,0.4118,26
ell_05,ell,calib,1,,shrunk,0.7591,-0.3379,0.2962,23
ell_06,ell,calib,1,,shrunk,0.7591,-0.3379,0.2962,23
star_01,star,test,1,,shrunk,0.83,-0.417,0.5254,28
star_02,star,test,1,,shrunk,0.8176,-0.4521,0.5284,27
star_03,star,test,1,,shrunk,0.8025,-0.4961,0.5159,28
star_04,star,test,1,,catalog,0.8851,-0.7012,0.4866,28
keyed_01,keyed,test,1,,catalog,0.9325,-1.5498,0.538,20
keyed_02,keyed,test,1,,catalog,0.9573,-0.7002,0.5269,24
keyed_03,keyed,test,1,,catalog,0.9359,-1.8125,0.5203,26
keyed_04,keyed,test,1,,catalog,0.9307,-1.5654,0.5203,25
keyed_05,keyed,test,1,,catalog,0.9436,-1.5918,0.3515,28
notched_01,notched,calib,1,,catalog,0.9031,-0.7002,0.4308,22
notched_02,notched,calib,1,,shrunk,0.8389,-0.3574,0.4643,22
notched_03,notched,calib,1,,shrunk,0.8389,-0.3574,0.4643,22
notched_04,notched,calib,1,,shrunk,0.8213,-0.333,0.432,21
trapezoid_01,trapezoid,calib,1,,catalog,0.8569,-1.7002,0.4181,20
trapezoid_02,trapezoid,calib,1,,catalog,0.9307,-0.5977,0.4178,23
trapezoid_03,trapezoid,calib,1,,shrunk,0.822,-0.3174,0.3901,12
chamfered_01,chamfered,test,1,,catalog,0.9193,-1.4443,0.5377,22
chamfered_02,chamfered,test,1,,catalog,0.9193,-1.4443,0.5377,22
chamfered_03,chamfered,test,1,,catalog,0.8515,-1.2227,0.5413,21
chamfered_04,chamfered,test,1,,catalog,0.8729,-0.7588,0.553,8
gear_01,gear,calib,1,,shrunk,0.8762,-0.248,0.3605,27
gear_02,gear,calib,1,,shrunk,0.8641,-0.2529,0.3551,27
gear_03,gear,calib,1,,shrunk,0.8593,-0.2529,0.3393,27
tube_01,tube,dev,1,,shrunk,0.7826,-0.2002,0.4857,10
tube_02,tube,dev,1,,shrunk,0.6773,-0.2002,0.4055,9
tube_03,tube,dev,1,,shrunk,0.7826,-0.2002,0.3608,13
