peg_id,socket_id,label,reason,margin_mm,max_gap_mm,best_rot,fit_rots,loose,nominal,same_family
circle_01,circle_01,compatible,,0.2999,0.3008,0,0 90 180 270,0,1,1
circle_02,circle_01,incompatible,,-1.2002,nan,0,,0,0,1
circle_03,circle_01,incompatible,,-2.0,nan,0,,0,0,1
circle_04,circle_01,incompatible,,-2.0,nan,0,,0,0,1
circle_05,circle_01,incompatible,,-2.0,nan,0,,0,0,1
square_01,circle_01,incompatible,,-1.7715,nan,0,,0,0,0
square_02,circle_01,incompatible,,-2.0,nan,0,,0,0,0
square_03,circle_01,incompatible,,-2.0,nan,0,,0,0,0
square_04,circle_01,incompatible,,-2.0,nan,0,,0,0,0
rect_01,circle_01,incompatible,,-2.0,nan,0,,0,0,0
rect_02,circle_01,incompatible,,-2.0,nan,0,,0,0,0
rect_03,circle_01,incompatible,,-2.0,nan,0,,0,0,0
rect_04,circle_01,incompatible,,-2.0,nan,0,,0,0,0
rect_05,circle_01,incompatible,,-1.4102,nan,0,,0,0,0
obround_01,circle_01,incompatible,,-2.0,nan,0,,0,0,0
obround_02,circle_01,incompatible,,-2.0,nan,0,,0,0,0
obround_03,circle_01,incompatible,,-2.0,nan,0,,0,0,0
obround_04,circle_01,incompatible,,-1.7002,nan,0,,0,0,0
ellipse_01,circle_01,incompatible,,-2.0,nan,0,,0,0,0
ellipse_02,circle_01,incompatible,,-2.0,nan,0,,0,0,0
ellipse_03,circle_01,incompatible,,-2.0,nan,0,,0,0,0
polygon_01,circle_01,incompatible,,-2.0,nan,0,,0,0,0
polygon_02,circle_01,incompatible,,-2.0,nan,0,,0,0,0
polygon_03,circle_01,incompatible,,-2.0,nan,0,,0,0,0
polygon_04,circle_01,incompatible,,-2.0,nan,0,,0,0,0
polygon_05,circle_01,incompatible,,-2.0,nan,0,,0,0,0
dshape_01,circle_01,incompatible,,-2.0,nan,0,,0,0,0
dshape_02,circle_01,incompatible,,-2.0,nan,0,,0,0,0
dshape_03,circle_01,incompatible,,-2.0,nan,0,,0,0,0
dshape_04,circle_01,incompatible,,-2.0,nan,0,,0,0,0
double_d_01,circle_01,incompatible,,-2.0,nan,0,,0,0,0
double_d_02,circle_01,incompatible,,-2.0,nan,0,,0,0,0
double_d_03,circle_01,incompatible,,-2.0,nan,0,,0,0,0
cross_01,circle_01,incompatible,,-2.0,nan,0,,0,0,0
cross_02,circle_01,incompatible,,-2.0,nan,0,,0,0,0
cross_03,circle_01,incompatible,,-2.0,nan,0,,0,0,0
cross_04,circle_01,incompatible,,-2.0,nan,0,,0,0,0
tee_01,circle_01,incompatible,,-2.0,nan,0,,0,0,0
tee_02,circle_01,incompatible,,-2.0,nan,0,,0,0,0
tee_03,circle_01,incompatible,,-2.0,nan,0,,0,0,0
ell_01,circle_01,incompatible,,-2.0,nan,0,,0,0,0
ell_02,circle_01,incompatible,,-2.0,nan,0,,0,0,0
ell_03,circle_01,incompatible,,-2.0,nan,0,,0,0,0
ell_04,circle_01,incompatible,,-2.0,nan,0,,0,0,0
ell_05,circle_01,incompatible,,-2.0,nan,0,,0,0,0
ell_06,circle_01,incompatible,,-2.0,nan,0,,0,0,0
star_01,circle_01,incompatible,,-2.0,nan,0,,0,0,0
star_02,circle_01,incompatible,,-2.0,nan,0,,0,0,0
star_03,circle_01,incompatible,,-2.0,nan,0,,0,0,0
star_04,circle_01,incompatible,,-2.0,nan,0,,0,0,0
keyed_01,circle_01,incompatible,,-2.0,nan,0,,0,0,0
keyed_02,circle_01,incompatible,,-2.0,nan,0,,0,0,0
keyed_03,circle_01,incompatible,,-2.0,nan,0,,0,0,0
keyed_04,circle_01,incompatible,,-2.0,nan,0,,0,0,0
keyed_05,circle_01,incompatible,,-2.0,nan,0,,0,0,0
notched_01,circle_01,incompatible,,-2.0,nan,0,,0,0,0
notched_02,circle_01,incompatible,,-2.0,nan,0,,0,0,0
notched_03,circle_01,incompatible,,-2.0,nan,0,,0,0,0
notched_04,circle_01,incompatible,,-2.0,nan,0,,0,0,0
trapezoid_01,circle_01,incompatible,,-2.0,nan,0,,0,0,0
trapezoid_02,circle_01,incompatible,,-2.0,nan,0,,0,0,0
trapezoid_03,circle_01,incompatible,,-2.0,nan,0,,0,0,0
chamfered_01,circle_01,incompatible,,-2.0,nan,0,,0,0,0
chamfered_02,circle_01,incompatible,,-2.0,nan,0,,0,0,0
chamfered_03,circle_01,incompatible,,-2.0,nan,0,,0,0,0
chamfered_04,circle_01,incompatible,,-2.0,nan,0,,0,0,0
gear_01,circle_01,incompatible,,-2.0,nan,0,,0,0,0
gear_02,circle_01,incompatible,,-2.0,nan,0,,0,0,0
gear_03,circle_01,incompatible,,-2.0,nan,0,,0,0,0
tube_01,circle_01,incompatible,,-1.7002,nan,0,,0,0,0
tube_02,circle_01,incompatible,,-1.7002,nan,0,,0,0,0
tube_03,circle_01,incompatible,,-2.0,nan,0,,0,0,0
circle_01,circle_02,compatible,,1.7995,1.8008,0,0 90 180 270,1,0,1
circle_02,circle_02,compatible,,0.2999,0.3008,0,0 90 180 270,0,1,1
circle_03,circle_02,incompatible,,-1.2002,nan,0,,0,0,1
circle_04,circle_02,incompatible,,-2.0,nan,0,,0,0,1
circle_05,circle_02,incompatible,,-2.0,nan,0,,0,0,1
square_01,circle_02,ambiguous,off_centre,-0.2715,nan,0,,0,0,0
square_02,circle_02,incompatible,,-2.0,nan,0,,0,0,0
square_03,circle_02,incompatible,,-2.0,nan,0,,0,0,0
square_04,circle_02,incompatible,,-2.0,nan,0,,0,0,0
rect_01,circle_02,incompatible,,-2.0,nan,0,,0,0,0
rect_02,circle_02,incompatible,,-2.0,nan,0,,0,0,0
rect_03,circle_02,incompatible,,-2.0,nan,0,,0,0,0
rect_04,circle_02,incompatible,,-2.0,nan,0,,0,0,0
rect_05,circle_02,compatible,,0.0899,3.8008,90,0 90 180 270,1,0,0
obround_01,circle_02,incompatible,,-2.0,nan,0,,0,0,0
obround_02,circle_02,incompatible,,-1.2002,nan,0,,0,0,0
obround_03,circle_02,incompatible,,-2.0,nan,0,,0,0,0
obround_04,circle_02,incompatible,,-0.2002,nan,0,,0,0,0
ellipse_01,circle_02,incompatible,,-2.0,nan,0,,0,0,0
ellipse_02,circle_02,incompatible,,-2.0,nan,0,,0,0,0
ellipse_03,circle_02,incompatible,,-2.0,nan,0,,0,0,0
polygon_01,circle_02,incompatible,,-2.0,nan,0,,0,0,0
polygon_02,circle_02,incompatible,,-2.0,nan,0,,0,0,0
polygon_03,circle_02,incompatible,,-2.0,nan,0,,0,0,0
