split,family,peg_id,cand_id,offset_mm,label,reason,margin_mm,peg_v1,peg_v2,socket_v1,socket_v2,p_yes,answer,top_prob,image_margin_mm,image_fits,accept_tau,accept_yes
test,chamfered,chamfered_01,chamfered_01,0.3,compatible,,0.2874,data/renders/procedural/chamfered_01_peg_v1.png,data/renders/procedural/chamfered_01_peg_v2.png,data/renders/procedural/chamfered_01_socket_v1.png,data/renders/procedural/chamfered_01_socket_v2.png,0.7739285891141234,yes,0.5939040184020996,0.2708,1,0,1
test,chamfered,chamfered_01,chamfered_01_ap+0.10,0.1,compatible,,0.0956,data/renders/procedural/chamfered_01_peg_v1.png,data/renders/procedural/chamfered_01_peg_v2.png,data/renders/aperture/chamfered_01_ap+0.10_socket_v1.png,data/renders/aperture/chamfered_01_ap+0.10_socket_v2.png,0.767543093343989,yes,0.5824970602989197,0.1354,1,0,1
test,chamfered,chamfered_01,chamfered_01_ap+0.00,0.0,ambiguous,boundary,0.0,data/renders/procedural/chamfered_01_peg_v1.png,data/renders/procedural/chamfered_01_peg_v2.png,data/renders/aperture/chamfered_01_ap+0.00_socket_v1.png,data/renders/aperture/chamfered_01_ap+0.00_socket_v2.png,0.7656451199872427,yes,0.5744608640670776,-0.0677,0,0,1
test,chamfered,chamfered_01,chamfered_01_ap-0.10,-0.1,ambiguous,off_centre,-0.1426,data/renders/procedural/chamfered_01_peg_v1.png,data/renders/procedural/chamfered_01_peg_v2.png,data/renders/aperture/chamfered_01_ap-0.10_socket_v1.png,data/renders/aperture/chamfered_01_ap-0.10_socket_v2.png,0.7697272114815125,yes,0.5797616839408875,-0.1915,0,0,1
test,chamfered,chamfered_01,chamfered_01_ap-0.30,-0.3,incompatible,,-0.4258,data/renders/procedural/chamfered_01_peg_v1.png,data/renders/procedural/chamfered_01_peg_v2.png,data/renders/aperture/chamfered_01_ap-0.30_socket_v1.png,data/renders/aperture/chamfered_01_ap-0.30_socket_v2.png,0.7711849881540885,yes,0.5917750000953674,-0.4788,0,0,1
test,chamfered,chamfered_01,chamfered_01_ap-0.60,-0.6,incompatible,,-0.8516,data/renders/procedural/chamfered_01_peg_v1.png,data/renders/procedural/chamfered_01_peg_v2.png,data/renders/aperture/chamfered_01_ap-0.60_socket_v1.png,data/renders/aperture/chamfered_01_ap-0.60_socket_v2.png,0.7739489039920946,yes,0.580732524394989,-0.8671,0,0,1
test,chamfered,chamfered_01,chamfered_01_ap-1.20,-1.2,incompatible,,-1.7031,data/renders/procedural/chamfered_01_peg_v1.png,data/renders/procedural/chamfered_01_peg_v2.png,data/renders/aperture/chamfered_01_ap-1.20_socket_v1.png,data/renders/aperture/chamfered_01_ap-1.20_socket_v2.png,0.7758566769463229,yes,0.609999418258667,-1.7721,0,0,1
test,chamfered,chamfered_02,chamfered_02,0.3,compatible,,0.2874,data/renders/procedural/chamfered_02_peg_v1.png,data/renders/procedural/chamfered_02_peg_v2.png,data/renders/procedural/chamfered_02_socket_v1.png,data/renders/procedural/chamfered_02_socket_v2.png,0.7743043304520366,yes,0.6046878099441528,0.2708,1,0,1
test,chamfered,chamfered_02,chamfered_02_ap+0.10,0.1,compatible,,0.0956,data/renders/procedural/chamfered_02_peg_v1.png,data/renders/procedural/chamfered_02_peg_v2.png,data/renders/aperture/chamfered_02_ap+0.10_socket_v1.png,data/renders/aperture/chamfered_02_ap+0.10_socket_v2.png,0.7659900054993664,yes,0.583501935005188,0.1354,1,0,1
test,chamfered,chamfered_02,chamfered_02_ap+0.00,0.0,ambiguous,boundary,0.0,data/renders/procedural/chamfered_02_peg_v1.png,data/renders/procedural/chamfered_02_peg_v2.png,data/renders/aperture/chamfered_02_ap+0.00_socket_v1.png,data/renders/aperture/chamfered_02_ap+0.00_socket_v2.png,0.7648003897898615,yes,0.5601645708084106,-0.0677,0,0,1
