method,families,tier,tau,delta,n,n_present,n_absent,selected,correct,wrong,deferred,failures,coverage,present_coverage,accepted_risk,correct_yield,absent_false_accept,failure_rate,top1_present
B0,all,all,,,112.0,56.0,56.0,112.0,15.0,97.0,0.0,0.0,1.0,1.0,0.8660714285714286,0.26785714285714285,1.0,0.0,0.26785714285714285
B0,all,easy,,,56.0,28.0,28.0,56.0,9.0,47.0,0.0,0.0,1.0,1.0,0.8392857142857143,0.32142857142857145,1.0,0.0,0.32142857142857145
B0,all,hard,,,56.0,28.0,28.0,56.0,6.0,50.0,0.0,0.0,1.0,1.0,0.8928571428571429,0.21428571428571427,1.0,0.0,0.21428571428571427
B0,exposed,all,,,48.0,24.0,24.0,48.0,11.0,37.0,0.0,0.0,1.0,1.0,0.7708333333333334,0.4583333333333333,1.0,0.0,0.4583333333333333
B0,exposed,easy,,,24.0,12.0,12.0,24.0,6.0,18.0,0.0,0.0,1.0,1.0,0.75,0.5,1.0,0.0,0.5
B0,exposed,hard,,,24.0,12.0,12.0,24.0,5.0,19.0,0.0,0.0,1.0,1.0,0.7916666666666666,0.4166666666666667,1.0,0.0,0.4166666666666667
B0,unexposed,all,,,64.0,32.0,32.0,64.0,4.0,60.0,0.0,0.0,1.0,1.0,0.9375,0.125,1.0,0.0,0.125
B0,unexposed,easy,,,32.0,16.0,16.0,32.0,3.0,29.0,0.0,0.0,1.0,1.0,0.90625,0.1875,1.0,0.0,0.1875
B0,unexposed,hard,,,32.0,16.0,16.0,32.0,1.0,31.0,0.0,0.0,1.0,1.0,0.96875,0.0625,1.0,0.0,0.0625
B1,all,all,,,112.0,56.0,56.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.375
B1,all,easy,,,56.0,28.0,28.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.39285714285714285
B1,all,hard,,,56.0,28.0,28.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.35714285714285715
B1,exposed,all,,,48.0,24.0,24.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.4166666666666667
B1,exposed,easy,,,24.0,12.0,12.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.4166666666666667
B1,exposed,hard,,,24.0,12.0,12.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.4166666666666667
B1,unexposed,all,,,64.0,32.0,32.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.34375
B1,unexposed,easy,,,32.0,16.0,16.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.375
B1,unexposed,hard,,,32.0,16.0,16.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.3125
S1,all,all,0.7448466506520907,,112.0,56.0,56.0,84.0,19.0,65.0,28.0,0.0,0.75,0.7142857142857143,0.7738095238095238,0.3392857142857143,0.7857142857142857,0.0,0.375
S1,all,easy,0.7448466506520907,,56.0,28.0,28.0,41.0,10.0,31.0,15.0,0.0,0.7321428571428571,0.7142857142857143,0.7560975609756098,0.35714285714285715,0.75,0.0,0.39285714285714285
S1,all,hard,0.7448466506520907,,56.0,28.0,28.0,43.0,9.0,34.0,13.0,0.0,0.7678571428571429,0.7142857142857143,0.7906976744186046,0.32142857142857145,0.8214285714285714,0.0,0.35714285714285715
S1,exposed,all,0.7448466506520907,,48.0,24.0,24.0,36.0,10.0,26.0,12.0,0.0,0.75,0.75,0.7222222222222222,0.4166666666666667,0.75,0.0,0.4166666666666667
S1,exposed,easy,0.7448466506520907,,24.0,12.0,12.0,18.0,5.0,13.0,6.0,0.0,0.75,0.75,0.7222222222222222,0.4166666666666667,0.75,0.0,0.4166666666666667
S1,exposed,hard,0.7448466506520907,,24.0,12.0,12.0,18.0,5.0,13.0,6.0,0.0,0.75,0.75,0.7222222222222222,0.4166666666666667,0.75,0.0,0.4166666666666667
S1,unexposed,all,0.7448466506520907,,64.0,32.0,32.0,48.0,9.0,39.0,16.0,0.0,0.75,0.6875,0.8125,0.28125,0.8125,0.0,0.34375
S1,unexposed,easy,0.7448466506520907,,32.0,16.0,16.0,23.0,5.0,18.0,9.0,0.0,0.71875,0.6875,0.782608695652174,0.3125,0.75,0.0,0.375
S1,unexposed,hard,0.7448466506520907,,32.0,16.0,16.0,25.0,4.0,21.0,7.0,0.0,0.78125,0.6875,0.84,0.25,0.875,0.0,0.3125
S2,all,all,0.7448466506520907,0.0,112.0,56.0,56.0,84.0,19.0,65.0,28.0,0.0,0.75,0.7142857142857143,0.7738095238095238,0.3392857142857143,0.7857142857142857,0.0,0.375
S2,all,easy,0.7448466506520907,0.0,56.0,28.0,28.0,41.0,10.0,31.0,15.0,0.0,0.7321428571428571,0.7142857142857143,0.7560975609756098,0.35714285714285715,0.75,0.0,0.39285714285714285
S2,all,hard,0.7448466506520907,0.0,56.0,28.0,28.0,43.0,9.0,34.0,13.0,0.0,0.7678571428571429,0.7142857142857143,0.7906976744186046,0.32142857142857145,0.8214285714285714,0.0,0.35714285714285715
S2,exposed,all,0.7448466506520907,0.0,48.0,24.0,24.0,36.0,10.0,26.0,12.0,0.0,0.75,0.75,0.7222222222222222,0.4166666666666667,0.75,0.0,0.4166666666666667
S2,exposed,easy,0.7448466506520907,0.0,24.0,12.0,12.0,18.0,5.0,13.0,6.0,0.0,0.75,0.75,0.7222222222222222,0.4166666666666667,0.75,0.0,0.4166666666666667
S2,exposed,hard,0.7448466506520907,0.0,24.0,12.0,12.0,18.0,5.0,13.0,6.0,0.0,0.75,0.75,0.7222222222222222,0.4166666666666667,0.75,0.0,0.4166666666666667
S2,unexposed,all,0.7448466506520907,0.0,64.0,32.0,32.0,48.0,9.0,39.0,16.0,0.0,0.75,0.6875,0.8125,0.28125,0.8125,0.0,0.34375
S2,unexposed,easy,0.7448466506520907,0.0,32.0,16.0,16.0,23.0,5.0,18.0,9.0,0.0,0.71875,0.6875,0.782608695652174,0.3125,0.75,0.0,0.375
S2,unexposed,hard,0.7448466506520907,0.0,32.0,16.0,16.0,25.0,4.0,21.0,7.0,0.0,0.78125,0.6875,0.84,0.25,0.875,0.0,0.3125
