method,families,tier,tau,delta,n,n_present,n_absent,selected,correct,wrong,deferred,failures,coverage,present_coverage,accepted_risk,correct_yield,absent_false_accept,failure_rate,top1_present
B0,all,all,,,112.0,56.0,56.0,112.0,13.0,99.0,0.0,0.0,1.0,1.0,0.8839285714285714,0.23214285714285715,1.0,0.0,0.23214285714285715
B0,all,easy,,,56.0,28.0,28.0,56.0,8.0,48.0,0.0,0.0,1.0,1.0,0.8571428571428571,0.2857142857142857,1.0,0.0,0.2857142857142857
B0,all,hard,,,56.0,28.0,28.0,56.0,5.0,51.0,0.0,0.0,1.0,1.0,0.9107142857142857,0.17857142857142858,1.0,0.0,0.17857142857142858
B0,exposed,all,,,48.0,24.0,24.0,48.0,8.0,40.0,0.0,0.0,1.0,1.0,0.8333333333333334,0.3333333333333333,1.0,0.0,0.3333333333333333
B0,exposed,easy,,,24.0,12.0,12.0,24.0,4.0,20.0,0.0,0.0,1.0,1.0,0.8333333333333334,0.3333333333333333,1.0,0.0,0.3333333333333333
B0,exposed,hard,,,24.0,12.0,12.0,24.0,4.0,20.0,0.0,0.0,1.0,1.0,0.8333333333333334,0.3333333333333333,1.0,0.0,0.3333333333333333
B0,unexposed,all,,,64.0,32.0,32.0,64.0,5.0,59.0,0.0,0.0,1.0,1.0,0.921875,0.15625,1.0,0.0,0.15625
B0,unexposed,easy,,,32.0,16.0,16.0,32.0,4.0,28.0,0.0,0.0,1.0,1.0,0.875,0.25,1.0,0.0,0.25
B0,unexposed,hard,,,32.0,16.0,16.0,32.0,1.0,31.0,0.0,0.0,1.0,1.0,0.96875,0.0625,1.0,0.0,0.0625
B1,all,all,,,112.0,56.0,56.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5178571428571429
B1,all,easy,,,56.0,28.0,28.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5357142857142857
B1,all,hard,,,56.0,28.0,28.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5
B1,exposed,all,,,48.0,24.0,24.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.625
B1,exposed,easy,,,24.0,12.0,12.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.6666666666666666
B1,exposed,hard,,,24.0,12.0,12.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5833333333333334
B1,unexposed,all,,,64.0,32.0,32.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.4375
B1,unexposed,easy,,,32.0,16.0,16.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.4375
B1,unexposed,hard,,,32.0,16.0,16.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.4375
S1,all,all,0.7069557131837898,,112.0,56.0,56.0,75.0,22.0,53.0,37.0,0.0,0.6696428571428571,0.7142857142857143,0.7066666666666667,0.39285714285714285,0.625,0.0,0.5178571428571429
S1,all,easy,0.7069557131837898,,56.0,28.0,28.0,37.0,12.0,25.0,19.0,0.0,0.6607142857142857,0.7142857142857143,0.6756756756756757,0.42857142857142855,0.6071428571428571,0.0,0.5357142857142857
S1,all,hard,0.7069557131837898,,56.0,28.0,28.0,38.0,10.0,28.0,18.0,0.0,0.6785714285714286,0.7142857142857143,0.7368421052631579,0.35714285714285715,0.6428571428571429,0.0,0.5
S1,exposed,all,0.7069557131837898,,48.0,24.0,24.0,33.0,12.0,21.0,15.0,0.0,0.6875,0.75,0.6363636363636364,0.5,0.625,0.0,0.625
S1,exposed,easy,0.7069557131837898,,24.0,12.0,12.0,16.0,7.0,9.0,8.0,0.0,0.6666666666666666,0.75,0.5625,0.5833333333333334,0.5833333333333334,0.0,0.6666666666666666
S1,exposed,hard,0.7069557131837898,,24.0,12.0,12.0,17.0,5.0,12.0,7.0,0.0,0.7083333333333334,0.75,0.7058823529411765,0.4166666666666667,0.6666666666666666,0.0,0.5833333333333334
S1,unexposed,all,0.7069557131837898,,64.0,32.0,32.0,42.0,10.0,32.0,22.0,0.0,0.65625,0.6875,0.7619047619047619,0.3125,0.625,0.0,0.4375
S1,unexposed,easy,0.7069557131837898,,32.0,16.0,16.0,21.0,5.0,16.0,11.0,0.0,0.65625,0.6875,0.7619047619047619,0.3125,0.625,0.0,0.4375
S1,unexposed,hard,0.7069557131837898,,32.0,16.0,16.0,21.0,5.0,16.0,11.0,0.0,0.65625,0.6875,0.7619047619047619,0.3125,0.625,0.0,0.4375
S2,all,all,0.7069557131837898,0.0,112.0,56.0,56.0,75.0,22.0,53.0,37.0,0.0,0.6696428571428571,0.7142857142857143,0.7066666666666667,0.39285714285714285,0.625,0.0,0.5178571428571429
S2,all,easy,0.7069557131837898,0.0,56.0,28.0,28.0,37.0,12.0,25.0,19.0,0.0,0.6607142857142857,0.7142857142857143,0.6756756756756757,0.42857142857142855,0.6071428571428571,0.0,0.5357142857142857
S2,all,hard,0.7069557131837898,0.0,56.0,28.0,28.0,38.0,10.0,28.0,18.0,0.0,0.6785714285714286,0.7142857142857143,0.7368421052631579,0.35714285714285715,0.6428571428571429,0.0,0.5
S2,exposed,all,0.7069557131837898,0.0,48.0,24.0,24.0,33.0,12.0,21.0,15.0,0.0,0.6875,0.75,0.6363636363636364,0.5,0.625,0.0,0.625
S2,exposed,easy,0.7069557131837898,0.0,24.0,12.0,12.0,16.0,7.0,9.0,8.0,0.0,0.6666666666666666,0.75,0.5625,0.5833333333333334,0.5833333333333334,0.0,0.6666666666666666
S2,exposed,hard,0.7069557131837898,0.0,24.0,12.0,12.0,17.0,5.0,12.0,7.0,0.0,0.7083333333333334,0.75,0.7058823529411765,0.4166666666666667,0.6666666666666666,0.0,0.5833333333333334
S2,unexposed,all,0.7069557131837898,0.0,64.0,32.0,32.0,42.0,10.0,32.0,22.0,0.0,0.65625,0.6875,0.7619047619047619,0.3125,0.625,0.0,0.4375
S2,unexposed,easy,0.7069557131837898,0.0,32.0,16.0,16.0,21.0,5.0,16.0,11.0,0.0,0.65625,0.6875,0.7619047619047619,0.3125,0.625,0.0,0.4375
S2,unexposed,hard,0.7069557131837898,0.0,32.0,16.0,16.0,21.0,5.0,16.0,11.0,0.0,0.65625,0.6875,0.7619047619047619,0.3125,0.625,0.0,0.4375
U0,all,all,,,112.0,56.0,56.0,112.0,29.0,83.0,0.0,0.0,1.0,1.0,0.7410714285714286,0.5178571428571429,1.0,0.0,0.5178571428571429
U0,all,easy,,,56.0,28.0,28.0,56.0,15.0,41.0,0.0,0.0,1.0,1.0,0.7321428571428571,0.5357142857142857,1.0,0.0,0.5357142857142857
U0,all,hard,,,56.0,28.0,28.0,56.0,14.0,42.0,0.0,0.0,1.0,1.0,0.75,0.5,1.0,0.0,0.5
U0,exposed,all,,,48.0,24.0,24.0,48.0,15.0,33.0,0.0,0.0,1.0,1.0,0.6875,0.625,1.0,0.0,0.625
U0,exposed,easy,,,24.0,12.0,12.0,24.0,8.0,16.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.6666666666666666
U0,exposed,hard,,,24.0,12.0,12.0,24.0,7.0,17.0,0.0,0.0,1.0,1.0,0.7083333333333334,0.5833333333333334,1.0,0.0,0.5833333333333334
U0,unexposed,all,,,64.0,32.0,32.0,64.0,14.0,50.0,0.0,0.0,1.0,1.0,0.78125,0.4375,1.0,0.0,0.4375
