method,families,tier,tau,delta,n,n_present,n_absent,selected,correct,wrong,deferred,failures,coverage,present_coverage,accepted_risk,correct_yield,absent_false_accept,failure_rate,top1_present
B0,all,all,,,112.0,56.0,56.0,112.0,37.0,75.0,0.0,0.0,1.0,1.0,0.6696428571428571,0.6607142857142857,1.0,0.0,0.6607142857142857
B0,all,easy,,,56.0,28.0,28.0,56.0,24.0,32.0,0.0,0.0,1.0,1.0,0.5714285714285714,0.8571428571428571,1.0,0.0,0.8571428571428571
B0,all,hard,,,56.0,28.0,28.0,56.0,13.0,43.0,0.0,0.0,1.0,1.0,0.7678571428571429,0.4642857142857143,1.0,0.0,0.4642857142857143
B0,exposed,all,,,48.0,24.0,24.0,48.0,12.0,36.0,0.0,0.0,1.0,1.0,0.75,0.5,1.0,0.0,0.5
B0,exposed,easy,,,24.0,12.0,12.0,24.0,9.0,15.0,0.0,0.0,1.0,1.0,0.625,0.75,1.0,0.0,0.75
B0,exposed,hard,,,24.0,12.0,12.0,24.0,3.0,21.0,0.0,0.0,1.0,1.0,0.875,0.25,1.0,0.0,0.25
B0,unexposed,all,,,64.0,32.0,32.0,64.0,25.0,39.0,0.0,0.0,1.0,1.0,0.609375,0.78125,1.0,0.0,0.78125
B0,unexposed,easy,,,32.0,16.0,16.0,32.0,15.0,17.0,0.0,0.0,1.0,1.0,0.53125,0.9375,1.0,0.0,0.9375
B0,unexposed,hard,,,32.0,16.0,16.0,32.0,10.0,22.0,0.0,0.0,1.0,1.0,0.6875,0.625,1.0,0.0,0.625
B1,all,all,,,112.0,56.0,56.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.7857142857142857
B1,all,easy,,,56.0,28.0,28.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.8928571428571429
B1,all,hard,,,56.0,28.0,28.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.6785714285714286
B1,exposed,all,,,48.0,24.0,24.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.75
B1,exposed,easy,,,24.0,12.0,12.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.8333333333333334
B1,exposed,hard,,,24.0,12.0,12.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.6666666666666666
B1,unexposed,all,,,64.0,32.0,32.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.8125
B1,unexposed,easy,,,32.0,16.0,16.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.9375
B1,unexposed,hard,,,32.0,16.0,16.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.6875
S1,all,all,0.607197978754429,,112.0,56.0,56.0,76.0,33.0,43.0,36.0,0.0,0.6785714285714286,0.7321428571428571,0.5657894736842105,0.5892857142857143,0.625,0.0,0.7857142857142857
S1,all,easy,0.607197978754429,,56.0,28.0,28.0,36.0,19.0,17.0,20.0,0.0,0.6428571428571429,0.75,0.4722222222222222,0.6785714285714286,0.5357142857142857,0.0,0.8928571428571429
S1,all,hard,0.607197978754429,,56.0,28.0,28.0,40.0,14.0,26.0,16.0,0.0,0.7142857142857143,0.7142857142857143,0.65,0.5,0.7142857142857143,0.0,0.6785714285714286
S1,exposed,all,0.607197978754429,,48.0,24.0,24.0,45.0,18.0,27.0,3.0,0.0,0.9375,0.9166666666666666,0.6,0.75,0.9583333333333334,0.0,0.75
S1,exposed,easy,0.607197978754429,,24.0,12.0,12.0,22.0,10.0,12.0,2.0,0.0,0.9166666666666666,0.9166666666666666,0.5454545454545454,0.8333333333333334,0.9166666666666666,0.0,0.8333333333333334
S1,exposed,hard,0.607197978754429,,24.0,12.0,12.0,23.0,8.0,15.0,1.0,0.0,0.9583333333333334,0.9166666666666666,0.6521739130434783,0.6666666666666666,1.0,0.0,0.6666666666666666
S1,unexposed,all,0.607197978754429,,64.0,32.0,32.0,31.0,15.0,16.0,33.0,0.0,0.484375,0.59375,0.5161290322580645,0.46875,0.375,0.0,0.8125
S1,unexposed,easy,0.607197978754429,,32.0,16.0,16.0,14.0,9.0,5.0,18.0,0.0,0.4375,0.625,0.35714285714285715,0.5625,0.25,0.0,0.9375
S1,unexposed,hard,0.607197978754429,,32.0,16.0,16.0,17.0,6.0,11.0,15.0,0.0,0.53125,0.5625,0.6470588235294118,0.375,0.5,0.0,0.6875
S2,all,all,0.6,0.0,112.0,56.0,56.0,83.0,38.0,45.0,29.0,0.0,0.7410714285714286,0.8214285714285714,0.5421686746987951,0.6785714285714286,0.6607142857142857,0.0,0.7857142857142857
S2,all,easy,0.6,0.0,56.0,28.0,28.0,38.0,21.0,17.0,18.0,0.0,0.6785714285714286,0.8214285714285714,0.4473684210526316,0.75,0.5357142857142857,0.0,0.8928571428571429
S2,all,hard,0.6,0.0,56.0,28.0,28.0,45.0,17.0,28.0,11.0,0.0,0.8035714285714286,0.8214285714285714,0.6222222222222222,0.6071428571428571,0.7857142857142857,0.0,0.6785714285714286
S2,exposed,all,0.6,0.0,48.0,24.0,24.0,45.0,18.0,27.0,3.0,0.0,0.9375,0.9166666666666666,0.6,0.75,0.9583333333333334,0.0,0.75
