split,margin_bin_mm,n,n_families,n_pegs,n_compatible,n_incompatible,n_ambiguous,n_left_censored,mean_margin_mm,observed_min_margin_mm,observed_max_margin_mm,p_yes_min,p_yes_q25,p_yes_median,p_yes_q75,p_yes_max,accepted_tau,accept_tau_rate,image_fits,image_fit_rate
calib,<=-2 (left censored),8,3,6,0,8,0,8,,,,0.7563178119959605,0.7607557459471523,0.7684353697137647,0.7802374171965893,0.8108017188692559,2,0.25,0,0.0
calib,"(-2,-1)",26,7,26,0,26,0,0,-1.665873076923077,-1.998,-1.0117,0.7379832052795008,0.764597093561399,0.7840872956903451,0.7996046667956265,0.810682011186036,10,0.38461538461538464,0,0.0
calib,"[-1,-0.5)",28,7,28,0,28,0,0,-0.8064607142857144,-0.9912,-0.501,0.7411873522783825,0.7687436676545236,0.7794238618191341,0.7930588832882373,0.8127388030582965,10,0.35714285714285715,0,0.0
calib,"[-0.5,-0.15)",38,7,28,0,22,16,0,-0.3252394736842106,-0.4941,-0.1533,0.7479056602849804,0.7714093240418176,0.7814722127401206,0.7901211209092983,0.8101641866770068,12,0.3157894736842105,0,0.0
calib,"[-0.15,-0.05)",12,3,12,0,0,12,0,-0.1377,-0.1416,-0.124,0.7467994051914278,0.7663049521539964,0.7756697369856632,0.7796514830758047,0.7975367924619958,2,0.16666666666666666,0,0.0
calib,"[-0.05,0.05)",28,7,28,0,0,28,0,-0.0003571428571428572,-0.001,0.0,0.7513393672308278,0.7671256052346258,0.7785906287345445,0.790590320529655,0.8105898212194206,9,0.32142857142857145,25,0.8928571428571429
calib,"[0.05,0.15)",28,7,28,28,0,0,0,0.08819642857142858,0.0652,0.1,0.7553284586462506,0.7692176739111012,0.7786616059119824,0.7871183700123567,0.8132344631524949,6,0.21428571428571427,28,1.0
calib,"[0.15,+inf)",28,7,28,28,0,0,0,0.26585714285714285,0.2017,0.2999,0.7581933433573929,0.7774934147443433,0.7881687605805217,0.7940760927328778,0.8170459578959104,14,0.5,28,1.0
test,<=-2 (left censored),4,2,4,0,4,0,4,,,,0.8006567612069163,0.8096986227786834,0.8200310993073763,0.829304730243931,0.8351700550392835,4,1.0,0,0.0
test,"(-2,-1)",29,7,29,0,29,0,0,-1.431103448275862,-1.9668,-1.2012,0.7669293080470577,0.7996976936321514,0.8164603097134898,0.8226141441384772,0.8468251654054106,25,0.8620689655172413,0,0.0
test,"[-1,-0.5)",29,7,29,0,29,0,0,-0.7151551724137931,-0.9834,-0.6006,0.7706953476574108,0.8000488734895007,0.8167190688243522,0.8231537561524723,0.847877909102724,25,0.8620689655172413,0,0.0
test,"[-0.5,-0.15)",30,7,29,0,30,0,0,-0.33656333333333327,-0.4922,-0.1641,0.7684148642644016,0.8015497015584615,0.8129914878668604,0.8219407027170706,0.8424024874971502,26,0.8666666666666667,0,0.0
test,"[-0.15,-0.05)",24,6,24,0,0,24,0,-0.11914583333333333,-0.1465,-0.1006,0.7678121896128027,0.806130788125822,0.8153787692848015,0.8230700888276593,0.8406515779872504,20,0.8333333333333334,0,0.0
test,"[-0.05,0.05)",29,7,29,0,0,29,0,-0.0008965517241379312,-0.001,0.0,0.7648003897898615,0.7991409576549511,0.8153568397172413,0.8242137411027445,0.836293631201909,25,0.8620689655172413,17,0.5862068965517241
test,"[0.05,0.15)",29,7,29,29,0,0,0,0.09741034482758622,0.0812,0.1,0.7659900054993664,0.8014135961358729,0.8152050850228454,0.8218718149106796,0.8365036235261912,25,0.8620689655172413,29,1.0
test,"[0.15,+inf)",29,7,29,29,0,0,0,0.2924862068965517,0.2463,0.2999,0.7739285891141234,0.8061341640616881,0.8184194375248204,0.8222286602992182,0.8459848411932148,25,0.8620689655172413,29,1.0
