split,family,peg_id,n,n_left_censored,min_p_yes,max_p_yes,p_yes_range,resolved_score_rises,resolved_score_falls,resolved_score_ties,unresolved_margin_steps,nonmonotonic_on_resolved_steps,violates_nondecreasing_response,tau_response,n_observed_gate_transitions,transitions
test,chamfered,chamfered_01,7,0,0.7656451199872427,0.7758566769463229,0.01021155695908016,2,4,0,0,True,True,always_rejects,0,[]
test,chamfered,chamfered_02,7,0,0.7648003897898615,0.7743043304520366,0.009503940662175081,3,3,0,0,True,True,always_rejects,0,[]
test,chamfered,chamfered_03,7,0,0.7672931189636738,0.784720564809088,0.017427445845414224,1,5,0,0,True,True,always_rejects,0,[]
test,chamfered,chamfered_04,7,0,0.7718156279472047,0.7801321711448223,0.008316543197617543,3,3,0,0,True,True,always_rejects,0,[]
test,circle,circle_01,7,0,0.8226141441384772,0.8297886043704935,0.007174460232016289,3,3,0,0,True,True,always_accepts,0,[]
test,circle,circle_02,7,0,0.8212697779092604,0.8279710363779562,0.006701258468695848,1,5,0,0,True,True,always_accepts,0,[]
test,circle,circle_03,7,0,0.8153568397172413,0.8237971003757032,0.008440260658461929,2,4,0,0,True,True,always_accepts,0,[]
test,circle,circle_04,7,0,0.8137068322216734,0.8196198082137205,0.005912975992047098,4,2,0,0,True,True,always_accepts,0,[]
test,circle,circle_05,7,0,0.8111564167249391,0.8201351470625885,0.008978730337649399,3,3,0,0,True,True,always_accepts,0,[]
test,double_d,double_d_01,7,0,0.7980983998370019,0.8081547893035191,0.010056389466517213,3,3,0,0,True,True,always_accepts,0,[]
test,double_d,double_d_02,7,0,0.7932338314456225,0.8061341640616881,0.012900332616065602,3,3,0,0,True,True,always_accepts,0,[]
test,double_d,double_d_03,7,0,0.7912680365549762,0.8014135961358729,0.01014555958089669,3,3,0,0,True,True,always_accepts,0,[]
calib,ell,ell_01,7,0,0.7788494122228292,0.7893545855594294,0.010505173336600171,3,3,0,0,True,True,one_observed_transition,1,"[{""direction_with_increasing_offset"": ""accept_to_reject"", ""from_margin_mm"": -1.998, ""from_margin_relation"": ""="", ""from_offset_mm"": -1.2, ""to_margin_mm"": -0.9912, ""to_margin_relation"": ""="", ""to_offset_mm"": -0.6}]"
calib,ell,ell_02,7,0,0.7557147902712789,0.7693147497165974,0.013599959445318555,3,3,0,0,True,True,always_rejects,0,[]
