analysis,dataset,threshold_policy,families,tier,regime,method,tau,delta,weighting,n_families,n,n_present,n_absent,selected,correct,wrong,deferred,failures,present_selected,absent_selected,top1_correct,weighted_n,weighted_n_present,weighted_n_absent,weighted_selected,weighted_correct,weighted_wrong,weighted_deferred,weighted_failures,weighted_present_selected,weighted_absent_selected,weighted_top1_correct,coverage,present_coverage,accepted_risk,correct_yield,absent_false_accept,failure_rate,top1_present,correct_yield_ci95,accepted_risk_ci95,absent_false_accept_ci95,present_coverage_ci95,top1_present_ci95
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,all,all,all,B0,,,family,7,112,56,56,112,13,99,0,0,56,56,13,7.0,3.5,3.5,7.0,0.8166666666666667,6.183333333333334,0.0,0.0,3.5,3.5,0.8166666666666667,1.0,1.0,0.8833333333333334,0.23333333333333334,1.0,0.0,0.23333333333333334,"[0.17380952380952383, 0.30357142857142855]","[0.8482142857142857, 0.9130952380952381]","[1.0, 1.0]","[1.0, 1.0]","[0.17380952380952383, 0.30357142857142855]"
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,all,easy,all,B0,,,family,7,56,28,28,56,8,48,0,0,28,28,8,7.0,3.5,3.5,7.0,1.0333333333333332,5.966666666666667,0.0,0.0,3.5,3.5,1.0333333333333332,1.0,1.0,0.8523809523809524,0.2952380952380952,1.0,0.0,0.2952380952380952,"[0.23809523809523808, 0.34761904761904766]","[0.8261904761904761, 0.8809523809523808]","[1.0, 1.0]","[1.0, 1.0]","[0.23809523809523808, 0.34761904761904766]"
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,all,hard,all,B0,,,family,7,56,28,28,56,5,51,0,0,28,28,5,7.0,3.5,3.5,7.0,0.6,6.3999999999999995,0.0,0.0,3.5,3.5,0.6,1.0,1.0,0.9142857142857143,0.17142857142857143,1.0,0.0,0.17142857142857143,"[0.047619047619047616, 0.31428571428571433]","[0.8428571428571429, 0.9761904761904762]","[1.0, 1.0]","[1.0, 1.0]","[0.047619047619047616, 0.31428571428571433]"
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,all,easy,absent_easy,B0,,,family,7,28,0,28,28,0,28,0,0,0,28,0,7.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0,,1.0,,1.0,0.0,,"[None, None]","[1.0, 1.0]","[1.0, 1.0]","[None, None]","[None, None]"
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,all,hard,absent_hard,B0,,,family,7,28,0,28,28,0,28,0,0,0,28,0,7.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0,,1.0,,1.0,0.0,,"[None, None]","[1.0, 1.0]","[1.0, 1.0]","[None, None]","[None, None]"
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,all,easy,present_easy,B0,,,family,7,28,28,0,28,8,20,0,0,28,0,8,7.0,7.0,0.0,7.0,2.0666666666666664,4.933333333333334,0.0,0.0,7.0,0.0,2.0666666666666664,1.0,1.0,0.7047619047619048,0.2952380952380952,,0.0,0.2952380952380952,"[0.23809523809523808, 0.34761904761904766]","[0.6523809523809525, 0.7619047619047619]","[None, None]","[1.0, 1.0]","[0.23809523809523808, 0.34761904761904766]"
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,all,hard,present_hard,B0,,,family,7,28,28,0,28,5,23,0,0,28,0,5,7.0,7.0,0.0,7.0,1.2,5.8,0.0,0.0,7.0,0.0,1.2,1.0,1.0,0.8285714285714285,0.17142857142857143,,0.0,0.17142857142857143,"[0.047619047619047616, 0.31428571428571433]","[0.6857142857142857, 0.9523809523809523]","[None, None]","[1.0, 1.0]","[0.047619047619047616, 0.31428571428571433]"
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,exposed,all,all,B0,,,family,3,48,24,24,48,8,40,0,0,24,24,8,3.0,1.5,1.5,3.0,0.5041666666666667,2.495833333333333,0.0,0.0,1.5,1.5,0.5041666666666667,1.0,1.0,0.8319444444444444,0.3361111111111111,1.0,0.0,0.3361111111111111,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,exposed,easy,all,B0,,,family,3,24,12,12,24,4,20,0,0,12,12,4,3.0,1.5,1.5,3.0,0.4916666666666667,2.5083333333333333,0.0,0.0,1.5,1.5,0.4916666666666667,1.0,1.0,0.8361111111111111,0.3277777777777778,1.0,0.0,0.3277777777777778,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,exposed,hard,all,B0,,,family,3,24,12,12,24,4,20,0,0,12,12,4,3.0,1.5,1.5,3.0,0.5166666666666666,2.4833333333333334,0.0,0.0,1.5,1.5,0.5166666666666666,1.0,1.0,0.8277777777777778,0.3444444444444444,1.0,0.0,0.3444444444444444,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,exposed,easy,absent_easy,B0,,,family,3,12,0,12,12,0,12,0,0,0,12,0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,exposed,hard,absent_hard,B0,,,family,3,12,0,12,12,0,12,0,0,0,12,0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,exposed,easy,present_easy,B0,,,family,3,12,12,0,12,4,8,0,0,12,0,4,3.0,3.0,0.0,3.0,0.9833333333333334,2.0166666666666666,0.0,0.0,3.0,0.0,0.9833333333333334,1.0,1.0,0.6722222222222222,0.3277777777777778,,0.0,0.3277777777777778,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,exposed,hard,present_hard,B0,,,family,3,12,12,0,12,4,8,0,0,12,0,4,3.0,3.0,0.0,3.0,1.0333333333333332,1.9666666666666668,0.0,0.0,3.0,0.0,1.0333333333333332,1.0,1.0,0.6555555555555556,0.3444444444444444,,0.0,0.3444444444444444,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,unexposed,all,all,B0,,,family,4,64,32,32,64,5,59,0,0,32,32,5,4.0,2.0,2.0,4.0,0.3125,3.6875,0.0,0.0,2.0,2.0,0.3125,1.0,1.0,0.921875,0.15625,1.0,0.0,0.15625,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,unexposed,easy,all,B0,,,family,4,32,16,16,32,4,28,0,0,16,16,4,4.0,2.0,2.0,4.0,0.5416666666666666,3.458333333333333,0.0,0.0,2.0,2.0,0.5416666666666666,1.0,1.0,0.8645833333333333,0.2708333333333333,1.0,0.0,0.2708333333333333,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,unexposed,hard,all,B0,,,family,4,32,16,16,32,1,31,0,0,16,16,1,4.0,2.0,2.0,4.0,0.08333333333333333,3.9166666666666665,0.0,0.0,2.0,2.0,0.08333333333333333,1.0,1.0,0.9791666666666666,0.041666666666666664,1.0,0.0,0.041666666666666664,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,unexposed,easy,absent_easy,B0,,,family,4,16,0,16,16,0,16,0,0,0,16,0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,unexposed,hard,absent_hard,B0,,,family,4,16,0,16,16,0,16,0,0,0,16,0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,unexposed,easy,present_easy,B0,,,family,4,16,16,0,16,4,12,0,0,16,0,4,4.0,4.0,0.0,4.0,1.0833333333333333,2.9166666666666665,0.0,0.0,4.0,0.0,1.0833333333333333,1.0,1.0,0.7291666666666666,0.2708333333333333,,0.0,0.2708333333333333,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,unexposed,hard,present_hard,B0,,,family,4,16,16,0,16,1,15,0,0,16,0,1,4.0,4.0,0.0,4.0,0.16666666666666666,3.833333333333333,0.0,0.0,4.0,0.0,0.16666666666666666,1.0,1.0,0.9583333333333333,0.041666666666666664,,0.0,0.041666666666666664,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:ell,all,all,B0,,,family,1,24,12,12,24,2,22,0,0,12,12,2,1.0,0.5,0.5,1.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.5,0.5,0.08333333333333333,1.0,1.0,0.9166666666666666,0.16666666666666666,1.0,0.0,0.16666666666666666,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:ell,easy,all,B0,,,family,1,12,6,6,12,1,11,0,0,6,6,1,1.0,0.5,0.5,1.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.5,0.5,0.08333333333333333,1.0,1.0,0.9166666666666666,0.16666666666666666,1.0,0.0,0.16666666666666666,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:ell,hard,all,B0,,,family,1,12,6,6,12,1,11,0,0,6,6,1,1.0,0.5,0.5,1.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.5,0.5,0.08333333333333333,1.0,1.0,0.9166666666666666,0.16666666666666666,1.0,0.0,0.16666666666666666,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:ell,easy,absent_easy,B0,,,family,1,6,0,6,6,0,6,0,0,0,6,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:ell,hard,absent_hard,B0,,,family,1,6,0,6,6,0,6,0,0,0,6,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:ell,easy,present_easy,B0,,,family,1,6,6,0,6,1,5,0,0,6,0,1,1.0,1.0,0.0,1.0,0.16666666666666666,0.8333333333333333,0.0,0.0,1.0,0.0,0.16666666666666666,1.0,1.0,0.8333333333333333,0.16666666666666666,,0.0,0.16666666666666666,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:ell,hard,present_hard,B0,,,family,1,6,6,0,6,1,5,0,0,6,0,1,1.0,1.0,0.0,1.0,0.16666666666666666,0.8333333333333333,0.0,0.0,1.0,0.0,0.16666666666666666,1.0,1.0,0.8333333333333333,0.16666666666666666,,0.0,0.16666666666666666,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:gear,all,all,B0,,,family,1,12,6,6,12,1,11,0,0,6,6,1,1.0,0.5,0.5,1.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.5,0.5,0.08333333333333333,1.0,1.0,0.9166666666666666,0.16666666666666666,1.0,0.0,0.16666666666666666,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:gear,easy,all,B0,,,family,1,6,3,3,6,1,5,0,0,3,3,1,1.0,0.5,0.5,1.0,0.16666666666666666,0.8333333333333333,0.0,0.0,0.5,0.5,0.16666666666666666,1.0,1.0,0.8333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:gear,hard,all,B0,,,family,1,6,3,3,6,0,6,0,0,3,3,0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:gear,easy,absent_easy,B0,,,family,1,3,0,3,3,0,3,0,0,0,3,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:gear,hard,absent_hard,B0,,,family,1,3,0,3,3,0,3,0,0,0,3,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:gear,easy,present_easy,B0,,,family,1,3,3,0,3,1,2,0,0,3,0,1,1.0,1.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,,0.0,0.3333333333333333,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:gear,hard,present_hard,B0,,,family,1,3,3,0,3,0,3,0,0,3,0,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:notched,all,all,B0,,,family,1,16,8,8,16,1,15,0,0,8,8,1,1.0,0.5,0.5,1.0,0.0625,0.9375,0.0,0.0,0.5,0.5,0.0625,1.0,1.0,0.9375,0.125,1.0,0.0,0.125,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:notched,easy,all,B0,,,family,1,8,4,4,8,1,7,0,0,4,4,1,1.0,0.5,0.5,1.0,0.125,0.875,0.0,0.0,0.5,0.5,0.125,1.0,1.0,0.875,0.25,1.0,0.0,0.25,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:notched,hard,all,B0,,,family,1,8,4,4,8,0,8,0,0,4,4,0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:notched,easy,absent_easy,B0,,,family,1,4,0,4,4,0,4,0,0,0,4,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:notched,hard,absent_hard,B0,,,family,1,4,0,4,4,0,4,0,0,0,4,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:notched,easy,present_easy,B0,,,family,1,4,4,0,4,1,3,0,0,4,0,1,1.0,1.0,0.0,1.0,0.25,0.75,0.0,0.0,1.0,0.0,0.25,1.0,1.0,0.75,0.25,,0.0,0.25,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:notched,hard,present_hard,B0,,,family,1,4,4,0,4,0,4,0,0,4,0,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:rect,all,all,B0,,,family,1,20,10,10,20,3,17,0,0,10,10,3,1.0,0.5,0.5,1.0,0.15000000000000002,0.8500000000000001,0.0,0.0,0.5,0.5,0.15000000000000002,1.0,1.0,0.8500000000000001,0.30000000000000004,1.0,0.0,0.30000000000000004,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:rect,easy,all,B0,,,family,1,10,5,5,10,2,8,0,0,5,5,2,1.0,0.5,0.5,1.0,0.2,0.8,0.0,0.0,0.5,0.5,0.2,1.0,1.0,0.8,0.4,1.0,0.0,0.4,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:rect,hard,all,B0,,,family,1,10,5,5,10,1,9,0,0,5,5,1,1.0,0.5,0.5,1.0,0.1,0.9,0.0,0.0,0.5,0.5,0.1,1.0,1.0,0.9,0.2,1.0,0.0,0.2,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:rect,easy,absent_easy,B0,,,family,1,5,0,5,5,0,5,0,0,0,5,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:rect,hard,absent_hard,B0,,,family,1,5,0,5,5,0,5,0,0,0,5,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:rect,easy,present_easy,B0,,,family,1,5,5,0,5,2,3,0,0,5,0,2,1.0,1.0,0.0,1.0,0.4,0.6000000000000001,0.0,0.0,1.0,0.0,0.4,1.0,1.0,0.6000000000000001,0.4,,0.0,0.4,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:rect,hard,present_hard,B0,,,family,1,5,5,0,5,1,4,0,0,5,0,1,1.0,1.0,0.0,1.0,0.2,0.8,0.0,0.0,1.0,0.0,0.2,1.0,1.0,0.8,0.2,,0.0,0.2,,,,,
