analysis,dataset,threshold_policy,families,tier,regime,method,tau,delta,weighting,n_families,n,n_present,n_absent,selected,correct,wrong,deferred,failures,present_selected,absent_selected,top1_correct,weighted_n,weighted_n_present,weighted_n_absent,weighted_selected,weighted_correct,weighted_wrong,weighted_deferred,weighted_failures,weighted_present_selected,weighted_absent_selected,weighted_top1_correct,coverage,present_coverage,accepted_risk,correct_yield,absent_false_accept,failure_rate,top1_present,correct_yield_ci95,accepted_risk_ci95,absent_false_accept_ci95,present_coverage_ci95,top1_present_ci95
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,all,all,all,B0,,,family,7,112,56,56,112,37,75,0,0,56,56,37,7.0,3.5,3.5,7.0,2.3208333333333333,4.679166666666666,0.0,0.0,3.5,3.5,2.3208333333333333,1.0,1.0,0.6684523809523809,0.6630952380952381,1.0,0.0,0.6630952380952381,"[0.5285714285714286, 0.8023809523809524]","[0.6, 0.7357142857142858]","[1.0, 1.0]","[1.0, 1.0]","[0.5285714285714286, 0.8023809523809524]"
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,all,easy,all,B0,,,family,7,56,28,28,56,24,32,0,0,28,28,24,7.0,3.5,3.5,7.0,3.025,3.975,0.0,0.0,3.5,3.5,3.025,1.0,1.0,0.5678571428571428,0.8642857142857142,1.0,0.0,0.8642857142857142,"[0.769047619047619, 0.9523809523809524]","[0.5238095238095238, 0.6154761904761905]","[1.0, 1.0]","[1.0, 1.0]","[0.769047619047619, 0.9523809523809524]"
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,all,hard,all,B0,,,family,7,56,28,28,56,13,43,0,0,28,28,13,7.0,3.5,3.5,7.0,1.6166666666666667,5.383333333333333,0.0,0.0,3.5,3.5,1.6166666666666667,1.0,1.0,0.769047619047619,0.46190476190476193,1.0,0.0,0.46190476190476193,"[0.24761904761904763, 0.6761904761904762]","[0.6619047619047619, 0.8761904761904761]","[1.0, 1.0]","[1.0, 1.0]","[0.24761904761904763, 0.6761904761904762]"
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,all,easy,absent_easy,B0,,,family,7,28,0,28,28,0,28,0,0,0,28,0,7.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0,,1.0,,1.0,0.0,,"[None, None]","[1.0, 1.0]","[1.0, 1.0]","[None, None]","[None, None]"
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,all,hard,absent_hard,B0,,,family,7,28,0,28,28,0,28,0,0,0,28,0,7.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0,,1.0,,1.0,0.0,,"[None, None]","[1.0, 1.0]","[1.0, 1.0]","[None, None]","[None, None]"
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,all,easy,present_easy,B0,,,family,7,28,28,0,28,24,4,0,0,28,0,24,7.0,7.0,0.0,7.0,6.05,0.95,0.0,0.0,7.0,0.0,6.05,1.0,1.0,0.1357142857142857,0.8642857142857142,,0.0,0.8642857142857142,"[0.769047619047619, 0.9523809523809524]","[0.047619047619047616, 0.23095238095238096]","[None, None]","[1.0, 1.0]","[0.769047619047619, 0.9523809523809524]"
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,all,hard,present_hard,B0,,,family,7,28,28,0,28,13,15,0,0,28,0,13,7.0,7.0,0.0,7.0,3.2333333333333334,3.7666666666666666,0.0,0.0,7.0,0.0,3.2333333333333334,1.0,1.0,0.5380952380952381,0.46190476190476193,,0.0,0.46190476190476193,"[0.24761904761904763, 0.6761904761904762]","[0.3238095238095238, 0.7523809523809524]","[None, None]","[1.0, 1.0]","[0.24761904761904763, 0.6761904761904762]"
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,exposed,all,all,B0,,,family,3,48,24,24,48,12,36,0,0,24,24,12,3.0,1.5,1.5,3.0,0.7375,2.2625,0.0,0.0,1.5,1.5,0.7375,1.0,1.0,0.7541666666666668,0.4916666666666667,1.0,0.0,0.4916666666666667,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,exposed,easy,all,B0,,,family,3,24,12,12,24,9,15,0,0,12,12,9,3.0,1.5,1.5,3.0,1.1083333333333334,1.8916666666666666,0.0,0.0,1.5,1.5,1.1083333333333334,1.0,1.0,0.6305555555555555,0.7388888888888889,1.0,0.0,0.7388888888888889,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,exposed,hard,all,B0,,,family,3,24,12,12,24,3,21,0,0,12,12,3,3.0,1.5,1.5,3.0,0.3666666666666667,2.6333333333333333,0.0,0.0,1.5,1.5,0.3666666666666667,1.0,1.0,0.8777777777777778,0.24444444444444446,1.0,0.0,0.24444444444444446,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,exposed,easy,absent_easy,B0,,,family,3,12,0,12,12,0,12,0,0,0,12,0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,exposed,hard,absent_hard,B0,,,family,3,12,0,12,12,0,12,0,0,0,12,0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,exposed,easy,present_easy,B0,,,family,3,12,12,0,12,9,3,0,0,12,0,9,3.0,3.0,0.0,3.0,2.216666666666667,0.7833333333333333,0.0,0.0,3.0,0.0,2.216666666666667,1.0,1.0,0.2611111111111111,0.7388888888888889,,0.0,0.7388888888888889,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,exposed,hard,present_hard,B0,,,family,3,12,12,0,12,3,9,0,0,12,0,3,3.0,3.0,0.0,3.0,0.7333333333333334,2.2666666666666666,0.0,0.0,3.0,0.0,0.7333333333333334,1.0,1.0,0.7555555555555555,0.24444444444444446,,0.0,0.24444444444444446,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,unexposed,all,all,B0,,,family,4,64,32,32,64,25,39,0,0,32,32,25,4.0,2.0,2.0,4.0,1.5833333333333333,2.4166666666666665,0.0,0.0,2.0,2.0,1.5833333333333333,1.0,1.0,0.6041666666666666,0.7916666666666666,1.0,0.0,0.7916666666666666,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,unexposed,easy,all,B0,,,family,4,32,16,16,32,15,17,0,0,16,16,15,4.0,2.0,2.0,4.0,1.9166666666666665,2.083333333333333,0.0,0.0,2.0,2.0,1.9166666666666665,1.0,1.0,0.5208333333333333,0.9583333333333333,1.0,0.0,0.9583333333333333,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,unexposed,hard,all,B0,,,family,4,32,16,16,32,10,22,0,0,16,16,10,4.0,2.0,2.0,4.0,1.25,2.75,0.0,0.0,2.0,2.0,1.25,1.0,1.0,0.6875,0.625,1.0,0.0,0.625,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,unexposed,easy,absent_easy,B0,,,family,4,16,0,16,16,0,16,0,0,0,16,0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,unexposed,hard,absent_hard,B0,,,family,4,16,0,16,16,0,16,0,0,0,16,0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,unexposed,easy,present_easy,B0,,,family,4,16,16,0,16,15,1,0,0,16,0,15,4.0,4.0,0.0,4.0,3.833333333333333,0.16666666666666666,0.0,0.0,4.0,0.0,3.833333333333333,1.0,1.0,0.041666666666666664,0.9583333333333333,,0.0,0.9583333333333333,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,unexposed,hard,present_hard,B0,,,family,4,16,16,0,16,10,6,0,0,16,0,10,4.0,4.0,0.0,4.0,2.5,1.5,0.0,0.0,4.0,0.0,2.5,1.0,1.0,0.375,0.625,,0.0,0.625,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,family:ell,all,all,B0,,,family,1,24,12,12,24,9,15,0,0,12,12,9,1.0,0.5,0.5,1.0,0.375,0.625,0.0,0.0,0.5,0.5,0.375,1.0,1.0,0.625,0.75,1.0,0.0,0.75,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,family:ell,easy,all,B0,,,family,1,12,6,6,12,5,7,0,0,6,6,5,1.0,0.5,0.5,1.0,0.41666666666666663,0.5833333333333333,0.0,0.0,0.5,0.5,0.41666666666666663,1.0,1.0,0.5833333333333333,0.8333333333333333,1.0,0.0,0.8333333333333333,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,family:ell,hard,all,B0,,,family,1,12,6,6,12,4,8,0,0,6,6,4,1.0,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.5,0.5,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.6666666666666666,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,family:ell,easy,absent_easy,B0,,,family,1,6,0,6,6,0,6,0,0,0,6,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,family:ell,hard,absent_hard,B0,,,family,1,6,0,6,6,0,6,0,0,0,6,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,family:ell,easy,present_easy,B0,,,family,1,6,6,0,6,5,1,0,0,6,0,5,1.0,1.0,0.0,1.0,0.8333333333333333,0.16666666666666666,0.0,0.0,1.0,0.0,0.8333333333333333,1.0,1.0,0.16666666666666666,0.8333333333333333,,0.0,0.8333333333333333,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,family:ell,hard,present_hard,B0,,,family,1,6,6,0,6,4,2,0,0,6,0,4,1.0,1.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.6666666666666666,,0.0,0.6666666666666666,,,,,
corrective reanalysis after test inspection,prompt_calibration,original_thresholds,family:gear,all,all,B0,,,family,1,12,6,6,12,6,6,0,0,6,6,6,1.0,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.0,1.0,,,,,
