analysis,dataset,threshold_policy,families,tier,regime,method,tau,delta,weighting,n_families,n,n_present,n_absent,selected,correct,wrong,deferred,failures,present_selected,absent_selected,top1_correct,weighted_n,weighted_n_present,weighted_n_absent,weighted_selected,weighted_correct,weighted_wrong,weighted_deferred,weighted_failures,weighted_present_selected,weighted_absent_selected,weighted_top1_correct,coverage,present_coverage,accepted_risk,correct_yield,absent_false_accept,failure_rate,top1_present,correct_yield_ci95,accepted_risk_ci95,absent_false_accept_ci95,present_coverage_ci95,top1_present_ci95
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,all,all,B0,,,family,7,112,56,56,112,20,92,0,0,56,56,20,7.0,3.5,3.5,7.0,1.2791666666666666,5.720833333333333,0.0,0.0,3.5,3.5,1.2791666666666666,1.0,1.0,0.8172619047619047,0.36547619047619045,1.0,0.0,0.36547619047619045,"[0.14285714285714285, 0.613095238095238]","[0.694047619047619, 0.9285714285714286]","[1.0, 1.0]","[1.0, 1.0]","[0.14285714285714285, 0.613095238095238]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,easy,all,B0,,,family,7,56,28,28,56,12,44,0,0,28,28,12,7.0,3.5,3.5,7.0,1.525,5.475,0.0,0.0,3.5,3.5,1.525,1.0,1.0,0.7821428571428571,0.43571428571428567,1.0,0.0,0.43571428571428567,"[0.14285714285714285, 0.7357142857142858]","[0.6357142857142858, 0.9285714285714286]","[1.0, 1.0]","[1.0, 1.0]","[0.14285714285714285, 0.7357142857142858]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,hard,all,B0,,,family,7,56,28,28,56,8,48,0,0,28,28,8,7.0,3.5,3.5,7.0,1.0333333333333332,5.966666666666667,0.0,0.0,3.5,3.5,1.0333333333333332,1.0,1.0,0.8523809523809524,0.2952380952380952,1.0,0.0,0.2952380952380952,"[0.09285714285714286, 0.5238095238095238]","[0.7380952380952381, 0.9535714285714285]","[1.0, 1.0]","[1.0, 1.0]","[0.09285714285714286, 0.5238095238095238]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,easy,absent_easy,B0,,,family,7,28,0,28,28,0,28,0,0,0,28,0,7.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0,,1.0,,1.0,0.0,,"[None, None]","[1.0, 1.0]","[1.0, 1.0]","[None, None]","[None, None]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,hard,absent_hard,B0,,,family,7,28,0,28,28,0,28,0,0,0,28,0,7.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0,,1.0,,1.0,0.0,,"[None, None]","[1.0, 1.0]","[1.0, 1.0]","[None, None]","[None, None]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,easy,present_easy,B0,,,family,7,28,28,0,28,12,16,0,0,28,0,12,7.0,7.0,0.0,7.0,3.05,3.9499999999999997,0.0,0.0,7.0,0.0,3.05,1.0,1.0,0.5642857142857143,0.43571428571428567,,0.0,0.43571428571428567,"[0.14285714285714285, 0.7357142857142858]","[0.2714285714285714, 0.8571428571428571]","[None, None]","[1.0, 1.0]","[0.14285714285714285, 0.7357142857142858]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,hard,present_hard,B0,,,family,7,28,28,0,28,8,20,0,0,28,0,8,7.0,7.0,0.0,7.0,2.0666666666666664,4.933333333333334,0.0,0.0,7.0,0.0,2.0666666666666664,1.0,1.0,0.7047619047619048,0.2952380952380952,,0.0,0.2952380952380952,"[0.09285714285714286, 0.5238095238095238]","[0.4761904761904762, 0.9071428571428571]","[None, None]","[1.0, 1.0]","[0.09285714285714286, 0.5238095238095238]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,exposed,all,all,B0,,,family,3,48,24,24,48,16,32,0,0,24,24,16,3.0,1.5,1.5,3.0,1.0291666666666666,1.9708333333333334,0.0,0.0,1.5,1.5,1.0291666666666666,1.0,1.0,0.6569444444444444,0.686111111111111,1.0,0.0,0.686111111111111,,,,,
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,exposed,easy,all,B0,,,family,3,24,12,12,24,9,15,0,0,12,12,9,3.0,1.5,1.5,3.0,1.15,1.85,0.0,0.0,1.5,1.5,1.15,1.0,1.0,0.6166666666666667,0.7666666666666666,1.0,0.0,0.7666666666666666,,,,,
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,exposed,hard,all,B0,,,family,3,24,12,12,24,7,17,0,0,12,12,7,3.0,1.5,1.5,3.0,0.9083333333333333,2.091666666666667,0.0,0.0,1.5,1.5,0.9083333333333333,1.0,1.0,0.6972222222222223,0.6055555555555555,1.0,0.0,0.6055555555555555,,,,,
