group,peg_id,socket,detail,label,reason,margin_mm,p_yes,mass_yes,mass_no,answer,top_token,top_prob,n_input_tokens,latency_s,prep_s,peak_vram_gb,invalid
mate,ellipse_01,ellipse_01,,compatible,,0.2998,0.6319261376387567,0.6308079361915588,0.36742255091667175,yes,Yes,0.5370770692825317,14894,6.117816500000117,0.07416430000012042,7.777324199676514,
look_alike,ellipse_01,ellipse_01_shrunk0.20,,incompatible,,-0.2012,0.6158484321842734,0.6147513389587402,0.3834672272205353,yes,Yes,0.5292970538139343,14894,5.505218199999945,0.06112360000042827,7.777324199676514,
easy,ellipse_01,cross_01,,incompatible,,-2.0,0.6427599331399184,0.6414729356765747,0.3565247654914856,yes,Yes,0.5116409659385681,14894,5.401183900001342,0.04550639999979467,7.777324199676514,
rotation,ellipse_01,ellipse_01_rot90,90 deg,compatible,,0.2998,0.5762586429559059,0.5752264261245728,0.4229823350906372,yes,Yes,0.5063458681106567,14894,5.635631499999363,0.05592689999866707,7.777324199676514,
mate,ellipse_02,ellipse_02,,compatible,,0.2998,0.6049009452797588,0.6038362979888916,0.3944036662578583,yes,Yes,0.5232300758361816,14894,5.4695504999999685,0.061695300000792486,7.777324199676514,
look_alike,ellipse_02,ellipse_02_shrunk0.20,,incompatible,,-0.2012,0.5962155471205288,0.5951592922210693,0.4030691087245941,yes,Yes,0.5188667178153992,14894,5.4510073000001285,0.049854999999297434,7.777324199676514,
easy,ellipse_02,cross_01,,incompatible,,-1.5703,0.6352923771698384,0.6340047121047974,0.3639684021472931,yes,Yes,0.5072702169418335,14894,5.620485499999631,0.0592992999991111,7.777324199676514,
rotation,ellipse_02,ellipse_02_rot90,90 deg,compatible,,0.2998,0.5690111825084616,0.5679561495780945,0.43018969893455505,yes,Yes,0.49806031584739685,14894,5.421420300001046,0.0673917000003712,7.777324199676514,
mate,ellipse_03,ellipse_03,,compatible,,0.2998,0.6098051187908688,0.6087104678153992,0.3894944489002228,yes,Yes,0.5133373737335205,14894,5.487151499999527,0.05020209999929648,7.777324199676514,
look_alike,ellipse_03,ellipse_03_shrunk0.20,,incompatible,,-0.2012,0.5983434633931062,0.597278356552124,0.40094155073165894,yes,Yes,0.5085059404373169,14894,5.458967700000358,0.05483219999950961,7.777324199676514,
easy,ellipse_03,dshape_03,,incompatible,,-2.0,0.6026904514799125,0.601578414440155,0.396576464176178,yes,Yes,0.5073323845863342,14894,5.4277957000012975,0.04791330000080052,7.777324199676514,
rotation,ellipse_03,ellipse_03_rot90,90 deg,compatible,,0.2998,0.5805318010202483,0.5794490575790405,0.4186858534812927,yes,Yes,0.5051455497741699,14894,5.463292000000365,0.04255809999995108,7.777324199676514,
mate,dshape_01,dshape_01,,compatible,,0.2923,0.5651822261643403,0.5642707943916321,0.43411657214164734,yes,Yes,0.5145580172538757,14894,5.52261499999986,0.06313260000024457,7.777324199676514,
look_alike,dshape_01,dshape_01_shrunk0.20,,incompatible,,-0.209,0.5713948115532588,0.570418119430542,0.42787256836891174,yes,Yes,0.5092341303825378,14894,5.469734599999356,0.05486979999841424,7.777324199676514,
easy,dshape_01,cross_01,,incompatible,,-2.0,0.6128962640906052,0.6116699576377869,0.38632920384407043,yes,Yes,0.49681806564331055,14894,5.48606909999944,0.04903310000008787,7.777324199676514,
rotation,dshape_01,dshape_01_rot90,90 deg,compatible,,0.2923,0.578758326948178,0.5777671337127686,0.42052024602890015,yes,Yes,0.5149258971214294,14894,5.488470899999811,0.06924400000025344,7.777324199676514,
mate,dshape_02,dshape_02,,compatible,,0.283,0.6152386732581135,0.6141846179962158,0.38410213589668274,yes,Yes,0.5375607013702393,14894,5.513716899999054,0.05330030000004626,7.777324199676514,
look_alike,dshape_02,dshape_02_shrunk0.20,,incompatible,,-0.2217,0.6185516299174054,0.6175263524055481,0.38081610202789307,yes,Yes,0.543582022190094,14894,5.725703899999644,0.05211539999982051,7.777324199676514,
easy,dshape_02,cross_01,,incompatible,,-2.0,0.6208097185940828,0.6195496320724487,0.3784206211566925,yes,Yes,0.5002539753913879,14894,5.482031499999721,0.05178469999918889,7.777324199676514,
rotation,dshape_02,dshape_02_rot90,90 deg,compatible,,0.283,0.6043513327481215,0.6033525466918945,0.3949947953224182,yes,Yes,0.5430067181587219,14894,5.49958929999957,0.053708699999333476,7.777324199676514,
mate,dshape_03,dshape_03,,compatible,,0.2744,0.6247125031753381,0.6237059831619263,0.37468284368515015,yes,Yes,0.5549753904342651,14894,5.799997400001303,0.04888480000045092,7.777324199676514,
look_alike,dshape_03,dshape_03_shrunk0.20,,incompatible,,-0.2412,0.6257283837377915,0.6247234344482422,0.3736705183982849,yes,Yes,0.5529680848121643,14894,5.535329299998921,0.05391589999999269,7.777324199676514,
easy,dshape_03,cross_01,,incompatible,,-1.5615,0.6188890225314608,0.6176820993423462,0.3803677558898926,yes,Yes,0.511657178401947,14894,5.595597800000178,0.050970100000995444,7.777324199676514,
rotation,dshape_03,dshape_03_rot90,90 deg,compatible,,0.2744,0.613047803903485,0.6120151877403259,0.3863004148006439,yes,Yes,0.5454738140106201,14894,5.509525100000246,0.0578613999987283,7.777324199676514,
mate,dshape_04,dshape_04,,compatible,,0.2865,0.5773408731001767,0.5764114856719971,0.42197874188423157,yes,Yes,0.524176299571991,14894,5.628862300000037,0.046266299999842886,7.777324199676514,
look_alike,dshape_04,dshape_04_shrunk0.20,,incompatible,,-0.2158,0.577991571793093,0.5770316123962402,0.4213075339794159,yes,Yes,0.5209112167358398,14894,5.696920399999726,0.05956849999893166,7.777324199676514,
easy,dshape_04,dshape_03,,incompatible,,-2.0,0.6063649134069333,0.6053420901298523,0.39297109842300415,yes,Yes,0.5357733964920044,14894,5.489810900000521,0.053524999999353895,7.777324199676514,
rotation,dshape_04,dshape_04_rot90,90 deg,compatible,,0.2865,0.5909897641035688,0.5900593996047974,0.4083663523197174,yes,Yes,0.5430095195770264,14894,5.578032400000666,0.04757489999974496,7.777324199676514,
mate,cross_01,cross_01,,compatible,,0.2999,0.6320760182798865,0.6310793161392212,0.36734381318092346,yes,Yes,0.575523853302002,14894,5.528207100000145,0.06784109999898646,7.777324199676514,
look_alike,cross_01,cross_01_shrunk0.20,,incompatible,,-0.2832,0.6055759491398437,0.6046903729438782,0.39384725689888,yes,Yes,0.5585718750953674,14894,5.524748799998633,0.05129739999938465,7.777324199676514,
easy,cross_01,tube_01,,incompatible,,-2.0,0.5915332592103393,0.590465784072876,0.4077296257019043,yes,Yes,0.49551352858543396,14894,5.52480050000122,0.05070739999973739,7.777324199676514,
mate,cross_02,cross_02,,compatible,,0.2999,0.6169191377548154,0.6159658432006836,0.3824889063835144,yes,Yes,0.5654546022415161,14894,5.596984300000258,0.061775500000294414,7.777324199676514,
look_alike,cross_02,cross_02_shrunk0.20,,incompatible,,-0.2832,0.6055426291363605,0.6046199798583984,0.39385634660720825,yes,Yes,0.55712890625,14894,5.504923599999529,0.056730499998593586,7.777324199676514,
easy,cross_02,dshape_03,,incompatible,,-2.0,0.5483078888251733,0.5472689867019653,0.45083627104759216,yes,Yes,0.4592435657978058,14894,5.562276700000439,0.06065470000066853,7.777324199676514,
