source,split,peg_id,cand_id,role,label,oracle_margin_mm,image_margin_px,image_margin_mm,image_turn,image_fits
blocks,calib,square_01,ell_05,E2,incompatible,-2.0,-99.0,-6.7031,0,0
blocks,calib,square_01,ell_02,E1,incompatible,-2.0,-79.0,-5.349,0,0
blocks,calib,square_01,square_01,M,compatible,0.2999,4.123,0.2792,0,1
blocks,calib,square_01,square_01_shrunk0.20,H,incompatible,-0.2832,-4.243,-0.2873,0,0
blocks,calib,square_01,tee_03,E3,incompatible,-1.7002,-25.0,-1.6927,0,0
blocks,calib,square_02,rect_05,E2,incompatible,-2.0,-47.381,-3.2081,0,0
blocks,calib,square_02,ell_05,E1,incompatible,-2.0,-121.0,-8.1927,0,0
blocks,calib,square_02,square_02,M,compatible,0.2999,5.0,0.3385,0,1
blocks,calib,square_02,square_02_shrunk0.20,H,incompatible,-0.2832,-4.243,-0.2873,0,0
blocks,calib,square_02,tee_02,E3,incompatible,-2.0,-62.0,-4.1979,0,0
blocks,calib,square_03,square_03,M,compatible,0.2999,5.385,0.3646,0,1
blocks,calib,square_03,ell_06,E1,incompatible,-2.0,-144.0,-9.75,0,0
blocks,calib,square_03,rect_05,E2,incompatible,-2.0,-74.465,-5.0419,0,0
blocks,calib,square_03,square_03_shrunk0.20,H,incompatible,-0.2832,-4.243,-0.2873,0,0
blocks,calib,square_03,tee_02,E3,incompatible,-2.0,-84.0,-5.6875,0,0
blocks,calib,square_04,square_04,M,compatible,0.2999,5.0,0.3385,0,1
blocks,calib,square_04,rect_05,E1,incompatible,-2.0,-114.612,-7.7602,0,0
blocks,calib,square_04,square_01,E2,incompatible,-2.0,-100.409,-6.7985,0,0
blocks,calib,square_04,square_04_shrunk0.20,H,incompatible,-0.2832,-4.243,-0.2873,0,0
blocks,calib,square_04,trapezoid_03,E3,incompatible,-2.0,-98.473,-6.6675,0,0
blocks,calib,rect_01,rect_01,M,compatible,0.2999,5.0,0.3385,0,1
blocks,calib,rect_01,ell_01,E1,incompatible,-2.0,-63.0,-4.2656,90,0
blocks,calib,rect_01,ell_05,E2,incompatible,-2.0,-84.0,-5.6875,90,0
blocks,calib,rect_01,trapezoid_02,H,incompatible,-1.6006,-23.345,-1.5807,0,0
blocks,calib,rect_01,tee_02,E3,incompatible,-2.0,-69.0,-4.6719,90,0
blocks,calib,rect_02,ell_06,E2,incompatible,-2.0,-100.0,-6.7708,0,0
blocks,calib,rect_02,rect_02,M,compatible,0.2999,5.0,0.3385,0,1
blocks,calib,rect_02,ell_02,E1,incompatible,-2.0,-79.0,-5.349,0,0
blocks,calib,rect_02,rect_02_shrunk0.20,H,incompatible,-0.2832,-4.243,-0.2873,0,0
blocks,calib,rect_02,rect_05,E3,incompatible,-2.0,-61.27,-4.1485,0,0
blocks,calib,rect_03,rect_03,M,compatible,0.2999,5.0,0.3385,0,1
blocks,calib,rect_03,ell_02,E1,incompatible,-2.0,-64.0,-4.3333,0,0
blocks,calib,rect_03,ell_05,E2,incompatible,-2.0,-84.0,-5.6875,90,0
blocks,calib,rect_03,trapezoid_01,H,incompatible,-0.5459,-7.071,-0.4788,0,0
blocks,calib,rect_03,tee_02,E3,incompatible,-2.0,-39.0,-2.6406,90,0
blocks,calib,rect_04,rect_05,E2,incompatible,-2.0,-94.372,-6.3897,0,0
blocks,calib,rect_04,ell_06,E1,incompatible,-2.0,-115.0,-7.7865,0,0
blocks,calib,rect_04,rect_04,M,compatible,0.2999,5.0,0.3385,0,1
blocks,calib,rect_04,rect_04_shrunk0.20,H,incompatible,-0.2832,-4.472,-0.3028,0,0
blocks,calib,rect_04,square_01,E3,incompatible,-2.0,-100.717,-6.8194,90,0
blocks,calib,rect_05,square_01,E2,incompatible,-0.7002,-11.0,-0.7448,0,0
blocks,calib,rect_05,ell_05,E1,incompatible,-2.0,-70.0,-4.7396,90,0
blocks,calib,rect_05,rect_05,M,compatible,0.2999,5.0,0.3385,0,1
blocks,calib,rect_05,rect_05_shrunk0.20,H,incompatible,-0.2832,-4.472,-0.3028,0,0
blocks,calib,rect_05,tee_02,E3,incompatible,-0.7002,-11.0,-0.7448,90,0
blocks,dev,ellipse_01,cross_01,E1,incompatible,-2.0,-35.0,-2.3698,0,0
blocks,dev,ellipse_01,ellipse_01,M,compatible,0.2998,4.472,0.3028,0,1
blocks,dev,ellipse_01,tube_02,E2,incompatible,-2.0,-61.465,-4.1617,0,0
blocks,dev,ellipse_01,ellipse_01_shrunk0.20,H,incompatible,-0.2012,-3.606,-0.2441,0,0
blocks,dev,ellipse_01,tube_03,E3,incompatible,-2.0,-68.768,-4.6561,0,0
blocks,dev,ellipse_02,tube_02,E2,incompatible,-2.0,-61.465,-4.1617,0,0
blocks,dev,ellipse_02,ellipse_02,M,compatible,0.2998,4.472,0.3028,0,1
blocks,dev,ellipse_02,cross_01,E1,incompatible,-1.5703,-24.0,-1.625,0,0
blocks,dev,ellipse_02,ellipse_02_shrunk0.20,H,incompatible,-0.2012,-4.0,-0.2708,0,0
blocks,dev,ellipse_02,tube_03,E3,incompatible,-2.0,-68.768,-4.6561,0,0
blocks,dev,ellipse_03,dshape_03,E1,incompatible,-2.0,-60.729,-4.1119,0,0
blocks,dev,ellipse_03,ellipse_03,M,compatible,0.2998,3.606,0.2441,0,1
blocks,dev,ellipse_03,tube_01,E2,incompatible,-2.0,-70.0,-4.7396,0,0
blocks,dev,ellipse_03,ellipse_03_shrunk0.20,H,incompatible,-0.2012,-4.0,-0.2708,0,0
blocks,dev,ellipse_03,tube_02,E3,incompatible,-2.0,-70.0,-4.7396,0,0
blocks,dev,dshape_01,dshape_01,M,compatible,0.2923,4.123,0.2792,0,1
blocks,dev,dshape_01,tube_02,E2,incompatible,-2.0,-61.465,-4.1617,0,0
blocks,dev,dshape_01,cross_01,E1,incompatible,-2.0,-46.0,-3.1146,0,0
blocks,dev,dshape_01,dshape_01_shrunk0.20,H,incompatible,-0.209,-3.606,-0.2441,0,0
blocks,dev,dshape_01,tube_03,E3,incompatible,-2.0,-68.768,-4.6561,0,0
blocks,dev,dshape_02,dshape_02,M,compatible,0.283,5.0,0.3385,0,1
blocks,dev,dshape_02,tube_02,E2,incompatible,-2.0,-61.465,-4.1617,0,0
blocks,dev,dshape_02,cross_01,E1,incompatible,-2.0,-38.0,-2.5729,0,0
blocks,dev,dshape_02,dshape_02_shrunk0.20,H,incompatible,-0.2217,-4.243,-0.2873,0,0
blocks,dev,dshape_02,tube_03,E3,incompatible,-2.0,-68.768,-4.6561,0,0
blocks,dev,dshape_03,tube_02,E2,incompatible,-2.0,-61.465,-4.1617,0,0
blocks,dev,dshape_03,cross_01,E1,incompatible,-1.5615,-24.0,-1.625,0,0
blocks,dev,dshape_03,dshape_03,M,compatible,0.2744,5.0,0.3385,0,1
blocks,dev,dshape_03,dshape_03_shrunk0.20,H,incompatible,-0.2412,-5.0,-0.3385,0,0
blocks,dev,dshape_03,tube_03,E3,incompatible,-2.0,-68.768,-4.6561,0,0
blocks,dev,dshape_04,tube_01,E2,incompatible,-2.0,-51.662,-3.498,0,0
blocks,dev,dshape_04,dshape_03,E1,incompatible,-2.0,-41.0,-2.776,0,0
blocks,dev,dshape_04,dshape_04,M,compatible,0.2865,4.123,0.2792,0,1
blocks,dev,dshape_04,dshape_04_shrunk0.20,H,incompatible,-0.2158,-4.0,-0.2708,0,0
blocks,dev,dshape_04,tube_02,E3,incompatible,-2.0,-61.465,-4.1617,0,0
blocks,dev,cross_01,tube_01,E1,incompatible,-2.0,-44.147,-2.9892,0,0
blocks,dev,cross_01,tube_02,E2,incompatible,-2.0,-61.465,-4.1617,0,0
blocks,dev,cross_01,cross_01,M,compatible,0.2999,5.0,0.3385,0,1
blocks,dev,cross_01,cross_01_shrunk0.20,H,incompatible,-0.2832,-4.243,-0.2873,0,0
blocks,dev,cross_01,tube_03,E3,incompatible,-2.0,-68.768,-4.6561,0,0
blocks,dev,cross_02,cross_02,M,compatible,0.2999,5.0,0.3385,0,1
blocks,dev,cross_02,dshape_03,E1,incompatible,-2.0,-80.0,-5.4167,0,0
blocks,dev,cross_02,tube_01,E2,incompatible,-2.0,-50.922,-3.4478,0,0
blocks,dev,cross_02,cross_02_shrunk0.20,H,incompatible,-0.2832,-4.243,-0.2873,0,0
blocks,dev,cross_02,tube_02,E3,incompatible,-2.0,-61.465,-4.1617,0,0
blocks,dev,cross_03,cross_03,M,compatible,0.2999,5.0,0.3385,0,1
blocks,dev,cross_03,tube_01,E1,incompatible,-2.0,-39.357,-2.6648,0,0
blocks,dev,cross_03,tube_02,E2,incompatible,-2.0,-61.465,-4.1617,0,0
blocks,dev,cross_03,cross_03_shrunk0.20,H,incompatible,-0.2832,-5.0,-0.3385,0,0
blocks,dev,cross_03,tube_03,E3,incompatible,-2.0,-68.768,-4.6561,0,0
blocks,dev,cross_04,cross_04,M,compatible,0.2999,5.0,0.3385,0,1
blocks,dev,cross_04,tube_02,E2,incompatible,-2.0,-61.465,-4.1617,0,0
blocks,dev,cross_04,tube_01,E1,incompatible,-2.0,-46.098,-3.1212,0,0
blocks,dev,cross_04,cross_04_shrunk0.20,H,incompatible,-0.2832,-5.0,-0.3385,0,0
