quant,grouping,prompt,chat,n,failures,min_mass,auroc,rank,acc,yes_rate,acc_nominal,acc_rotated,acc_clear_neg,acc_hard_neg,acc_shrunk,mean_p_compat,mean_p_incompat,latency_s,prep_s,tokens,peak_vram_gb
int8,nested,paper,qwen_1_5,56,0,0.999,0.521,0.551,0.5,0.464,0.64,0.12,0.5,0.42,0.75,0.509,0.511,0.9,0.02,3018,9.09
nf4,flat,controlled,qwen_1_5,56,0,0.998,0.467,0.327,0.393,1.0,1.0,1.0,0.0,0.0,0.0,0.81,0.811,17.34,0.25,14956,7.79
nf4,flat,paper,qwen_1_5,56,0,0.998,0.361,0.449,0.393,1.0,1.0,1.0,0.0,0.0,0.0,0.61,0.622,7.24,0.12,14894,7.78
nf4,nested,controlled,qwen_1_5,56,0,0.998,0.432,0.388,0.393,1.0,1.0,1.0,0.0,0.0,0.0,0.765,0.769,1.31,0.03,3080,6.13
nf4,nested,paper,hf,56,0,0.998,0.477,0.469,0.393,1.0,1.0,1.0,0.0,0.0,0.0,0.673,0.675,1.07,0.02,3004,6.12
nf4,nested,paper,qwen_1_5,56,0,0.998,0.342,0.51,0.375,0.982,1.0,0.88,0.0,0.0,0.0,0.562,0.58,1.07,0.02,3018,6.13
nf4,nested,paper_v1,hf,56,0,0.997,0.373,0.449,0.393,1.0,1.0,1.0,0.0,0.0,0.0,0.623,0.642,0.56,0.01,1514,5.97
nf4,nested,paper_v1,qwen_1_5,56,0,0.996,0.543,0.633,0.393,1.0,1.0,1.0,0.0,0.0,0.0,0.636,0.632,0.57,0.01,1526,5.97
nf4,nested,shape,hf,56,0,0.998,0.43,0.429,0.393,1.0,1.0,1.0,0.0,0.0,0.0,0.75,0.751,1.08,0.02,3040,6.13
nf4,nested,shape,qwen_1_5,56,0,0.997,0.541,0.469,0.393,1.0,1.0,1.0,0.0,0.0,0.0,0.779,0.766,1.11,0.02,3054,6.13
