method,families,tier,tau,delta,n,n_present,n_absent,selected,correct,wrong,deferred,failures,coverage,present_coverage,accepted_risk,correct_yield,absent_false_accept,failure_rate,top1_present
B0,all,all,,,112.0,56.0,56.0,112.0,20.0,92.0,0.0,0.0,1.0,1.0,0.8214285714285714,0.35714285714285715,1.0,0.0,0.35714285714285715
B0,all,easy,,,56.0,28.0,28.0,56.0,12.0,44.0,0.0,0.0,1.0,1.0,0.7857142857142857,0.42857142857142855,1.0,0.0,0.42857142857142855
B0,all,hard,,,56.0,28.0,28.0,56.0,8.0,48.0,0.0,0.0,1.0,1.0,0.8571428571428571,0.2857142857142857,1.0,0.0,0.2857142857142857
B0,exposed,all,,,48.0,24.0,24.0,48.0,16.0,32.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.6666666666666666
B0,exposed,easy,,,24.0,12.0,12.0,24.0,9.0,15.0,0.0,0.0,1.0,1.0,0.625,0.75,1.0,0.0,0.75
B0,exposed,hard,,,24.0,12.0,12.0,24.0,7.0,17.0,0.0,0.0,1.0,1.0,0.7083333333333334,0.5833333333333334,1.0,0.0,0.5833333333333334
B0,unexposed,all,,,64.0,32.0,32.0,64.0,4.0,60.0,0.0,0.0,1.0,1.0,0.9375,0.125,1.0,0.0,0.125
B0,unexposed,easy,,,32.0,16.0,16.0,32.0,3.0,29.0,0.0,0.0,1.0,1.0,0.90625,0.1875,1.0,0.0,0.1875
B0,unexposed,hard,,,32.0,16.0,16.0,32.0,1.0,31.0,0.0,0.0,1.0,1.0,0.96875,0.0625,1.0,0.0,0.0625
B1,all,all,,,112.0,56.0,56.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.4642857142857143
B1,all,easy,,,56.0,28.0,28.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5
B1,all,hard,,,56.0,28.0,28.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.42857142857142855
B1,exposed,all,,,48.0,24.0,24.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.7083333333333334
B1,exposed,easy,,,24.0,12.0,12.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.75
B1,exposed,hard,,,24.0,12.0,12.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.6666666666666666
B1,unexposed,all,,,64.0,32.0,32.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.28125
B1,unexposed,easy,,,32.0,16.0,16.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.3125
B1,unexposed,hard,,,32.0,16.0,16.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.25
S1,all,all,0.787984976280714,,112.0,56.0,56.0,80.0,20.0,60.0,32.0,0.0,0.7142857142857143,0.7142857142857143,0.75,0.35714285714285715,0.7142857142857143,0.0,0.4642857142857143
S1,all,easy,0.787984976280714,,56.0,28.0,28.0,40.0,11.0,29.0,16.0,0.0,0.7142857142857143,0.7142857142857143,0.725,0.39285714285714285,0.7142857142857143,0.0,0.5
S1,all,hard,0.787984976280714,,56.0,28.0,28.0,40.0,9.0,31.0,16.0,0.0,0.7142857142857143,0.7142857142857143,0.775,0.32142857142857145,0.7142857142857143,0.0,0.42857142857142855
